iso3c,calificacion,ocupacion,rama,freq
AFG,1.Baja,1.Asalariado_patr,1.Agro,0.16751124501211015
AFG,2.Media,1.Asalariado_patr,1.Agro,3.4917243329938223
AFG,3-Alta,1.Asalariado_patr,1.Agro,0.006371901653101612
AFG,1.Baja,3.TCP_fliares,1.Agro,2.501786211137668
AFG,2.Media,3.TCP_fliares,1.Agro,73.38238545966267
AFG,3-Alta,3.TCP_fliares,1.Agro,0.022331298528277505
AFG,1.Baja,1.Asalariado_patr,2.No_agro,2.228370217164567
AFG,2.Media,1.Asalariado_patr,2.No_agro,3.744675618339006
AFG,3-Alta,1.Asalariado_patr,2.No_agro,2.3427084526032367
AFG,1.Baja,3.TCP_fliares,2.No_agro,3.3538791565838353
AFG,2.Media,3.TCP_fliares,2.No_agro,7.930853289896752
AFG,3-Alta,3.TCP_fliares,2.No_agro,0.8274028164249633
AGO,1.Baja,1.Asalariado_patr,1.Agro,0.4454901751419801
AGO,2.Media,1.Asalariado_patr,1.Agro,10.30169760792362
AGO,3-Alta,1.Asalariado_patr,1.Agro,0.1511073071990279
AGO,1.Baja,3.TCP_fliares,1.Agro,3.2174806380004193
AGO,2.Media,3.TCP_fliares,1.Agro,71.03664230761419
AGO,3-Alta,3.TCP_fliares,1.Agro,0.11998146043323302
AGO,1.Baja,1.Asalariado_patr,2.No_agro,1.1267478946724092
AGO,2.Media,1.Asalariado_patr,2.No_agro,4.269461187744478
AGO,3-Alta,1.Asalariado_patr,2.No_agro,2.9377018194890696
AGO,1.Baja,3.TCP_fliares,2.No_agro,1.3036595818219066
AGO,2.Media,3.TCP_fliares,2.No_agro,4.716353315594518
AGO,3-Alta,3.TCP_fliares,2.No_agro,0.3736767043651426
ALB,1.Baja,1.Asalariado_patr,1.Agro,0.006229873681608146
ALB,2.Media,1.Asalariado_patr,1.Agro,2.1118501685502453
ALB,3-Alta,1.Asalariado_patr,1.Agro,0.009125682239309037
ALB,1.Baja,3.TCP_fliares,1.Agro,0.2873516112390205
ALB,2.Media,3.TCP_fliares,1.Agro,75.19804171595726
ALB,3-Alta,3.TCP_fliares,1.Agro,0.1898927875924505
ALB,1.Baja,1.Asalariado_patr,2.No_agro,1.387946233602516
ALB,2.Media,1.Asalariado_patr,2.No_agro,9.51668840817392
ALB,3-Alta,1.Asalariado_patr,2.No_agro,5.0237481852022405
ALB,1.Baja,3.TCP_fliares,2.No_agro,0.7909406160263232
ALB,2.Media,3.TCP_fliares,2.No_agro,4.186644812744036
ALB,3-Alta,3.TCP_fliares,2.No_agro,1.291539904991078
ARE,1.Baja,1.Asalariado_patr,1.Agro,2.418277716930299
ARE,2.Media,1.Asalariado_patr,1.Agro,5.270432617561114
ARE,3-Alta,1.Asalariado_patr,1.Agro,0.8606044727550836
ARE,1.Baja,3.TCP_fliares,1.Agro,0.06619535764045281
ARE,2.Media,3.TCP_fliares,1.Agro,0.059953779311984055
ARE,3-Alta,3.TCP_fliares,1.Agro,0.009492216056233042
ARE,1.Baja,1.Asalariado_patr,2.No_agro,16.90986276442014
ARE,2.Media,1.Asalariado_patr,2.No_agro,40.8670845170175
ARE,3-Alta,1.Asalariado_patr,2.No_agro,32.07300052762498
ARE,1.Baja,3.TCP_fliares,2.No_agro,0.5291818679717408
ARE,2.Media,3.TCP_fliares,2.No_agro,0.5314806639447118
ARE,3-Alta,3.TCP_fliares,2.No_agro,0.40443349876575624
ARG,1.Baja,1.Asalariado_patr,1.Agro,0.9953617457688055
ARG,2.Media,1.Asalariado_patr,1.Agro,1.076148472003769
ARG,3-Alta,1.Asalariado_patr,1.Agro,0.4544715196201635
ARG,1.Baja,3.TCP_fliares,1.Agro,0.17953211514518597
ARG,2.Media,3.TCP_fliares,1.Agro,0.7685415629071058
ARG,3-Alta,3.TCP_fliares,1.Agro,0.24731565688393126
ARG,1.Baja,1.Asalariado_patr,2.No_agro,15.74821611685179
ARG,2.Media,1.Asalariado_patr,2.No_agro,39.87053969765407
ARG,3-Alta,1.Asalariado_patr,2.No_agro,19.545021372007838
ARG,1.Baja,3.TCP_fliares,2.No_agro,1.4296960871880633
ARG,2.Media,3.TCP_fliares,2.No_agro,14.331724165100873
ARG,3-Alta,3.TCP_fliares,2.No_agro,5.353431488868402
ARM,1.Baja,1.Asalariado_patr,1.Agro,0.32660656253104203
ARM,2.Media,1.Asalariado_patr,1.Agro,3.667256706050253
ARM,3-Alta,1.Asalariado_patr,1.Agro,0.006617743489900264
ARM,1.Baja,3.TCP_fliares,1.Agro,0.9180570050896568
ARM,2.Media,3.TCP_fliares,1.Agro,67.24765099101737
ARM,3-Alta,3.TCP_fliares,1.Agro,0.26855945853250096
ARM,1.Baja,1.Asalariado_patr,2.No_agro,2.7942048289260937
ARM,2.Media,1.Asalariado_patr,2.No_agro,10.999029192632001
ARM,3-Alta,1.Asalariado_patr,2.No_agro,9.604350019149075
ARM,1.Baja,3.TCP_fliares,2.No_agro,0.05461927793369661
ARM,2.Media,3.TCP_fliares,2.No_agro,1.4025977428393437
ARM,3-Alta,3.TCP_fliares,2.No_agro,2.710450471809072
AUS,1.Baja,1.Asalariado_patr,1.Agro,1.3627277711484382
AUS,2.Media,1.Asalariado_patr,1.Agro,4.84089869856168
AUS,3-Alta,1.Asalariado_patr,1.Agro,0.3990210600201461
AUS,1.Baja,3.TCP_fliares,1.Agro,1.2486444470040916
AUS,2.Media,3.TCP_fliares,1.Agro,4.137298528465811
AUS,3-Alta,3.TCP_fliares,1.Agro,0.4614558403529081
AUS,1.Baja,1.Asalariado_patr,2.No_agro,6.10813898819118
AUS,2.Media,1.Asalariado_patr,2.No_agro,36.09316210915172
AUS,3-Alta,1.Asalariado_patr,2.No_agro,34.981728137309986
AUS,1.Baja,3.TCP_fliares,2.No_agro,0.7545119494782038
AUS,2.Media,3.TCP_fliares,2.No_agro,4.158563373456417
AUS,3-Alta,3.TCP_fliares,2.No_agro,5.453849096859417
AUT,1.Baja,1.Asalariado_patr,1.Agro,2.550919663130288e-9
AUT,2.Media,1.Asalariado_patr,1.Agro,5.751422024728217
AUT,3-Alta,1.Asalariado_patr,1.Agro,6.373661402188595e-54
AUT,1.Baja,3.TCP_fliares,1.Agro,0.65255803442701
AUT,2.Media,3.TCP_fliares,1.Agro,12.368198892026664
AUT,3-Alta,3.TCP_fliares,1.Agro,0.5015476521256421
AUT,1.Baja,1.Asalariado_patr,2.No_agro,7.19796293120407
AUT,2.Media,1.Asalariado_patr,2.No_agro,39.73157894805274
AUT,3-Alta,1.Asalariado_patr,2.No_agro,28.799670394432592
AUT,1.Baja,3.TCP_fliares,2.No_agro,4.060092198589601e-45
AUT,2.Media,3.TCP_fliares,2.No_agro,1.8839569697710286e-52
AUT,3-Alta,3.TCP_fliares,2.No_agro,4.99706112045214
BEL,1.Baja,1.Asalariado_patr,1.Agro,0.6407482980633246
BEL,2.Media,1.Asalariado_patr,1.Agro,1.6685416217998434
BEL,3-Alta,1.Asalariado_patr,1.Agro,0.05413882769552019
BEL,1.Baja,3.TCP_fliares,1.Agro,0.20369858617458764
BEL,2.Media,3.TCP_fliares,1.Agro,3.0220912984145736
BEL,3-Alta,3.TCP_fliares,1.Agro,0.3222633529320276
BEL,1.Baja,1.Asalariado_patr,2.No_agro,9.409341572933652
BEL,2.Media,1.Asalariado_patr,2.No_agro,39.343249670504996
BEL,3-Alta,1.Asalariado_patr,2.No_agro,37.695940193935726
BEL,1.Baja,3.TCP_fliares,2.No_agro,0.07652597412817598
BEL,2.Media,3.TCP_fliares,2.No_agro,1.8230133270064912
BEL,3-Alta,3.TCP_fliares,2.No_agro,5.740447276411081
BEN,1.Baja,1.Asalariado_patr,1.Agro,0.003881867235811586
BEN,2.Media,1.Asalariado_patr,1.Agro,1.9122784652116642
BEN,3-Alta,1.Asalariado_patr,1.Agro,0.01457468883989961
BEN,1.Baja,3.TCP_fliares,1.Agro,0.05462020004919651
BEN,2.Media,3.TCP_fliares,1.Agro,77.10175821558452
BEN,3-Alta,3.TCP_fliares,1.Agro,0.1698340015150172
BEN,1.Baja,1.Asalariado_patr,2.No_agro,0.14918182536398777
BEN,2.Media,1.Asalariado_patr,2.No_agro,3.3333531932613916
BEN,3-Alta,1.Asalariado_patr,2.No_agro,1.284077165276755
BEN,1.Baja,3.TCP_fliares,2.No_agro,0.22141605304582423
BEN,2.Media,3.TCP_fliares,2.No_agro,14.176697080362947
BEN,3-Alta,3.TCP_fliares,2.No_agro,1.5783272442529783
BFA,1.Baja,1.Asalariado_patr,1.Agro,0.11660402586734954
BFA,2.Media,1.Asalariado_patr,1.Agro,1.767023111889161
BFA,3-Alta,1.Asalariado_patr,1.Agro,0.0802332661910083
BFA,1.Baja,3.TCP_fliares,1.Agro,1.8777739393115886
BFA,2.Media,3.TCP_fliares,1.Agro,60.23708292408247
BFA,3-Alta,3.TCP_fliares,1.Agro,1.0519961084302865
BFA,1.Baja,1.Asalariado_patr,2.No_agro,1.8633680920550093
BFA,2.Media,1.Asalariado_patr,2.No_agro,6.4956444475648825
BFA,3-Alta,1.Asalariado_patr,2.No_agro,3.0043004205083457
BFA,1.Baja,3.TCP_fliares,2.No_agro,2.425288054872529
BFA,2.Media,3.TCP_fliares,2.No_agro,17.896943139582888
BFA,3-Alta,3.TCP_fliares,2.No_agro,3.1837424696444745
BGD,1.Baja,1.Asalariado_patr,1.Agro,10.405786391729178
BGD,2.Media,1.Asalariado_patr,1.Agro,9.663428118361518
BGD,3-Alta,1.Asalariado_patr,1.Agro,0.04027706417520902
BGD,1.Baja,3.TCP_fliares,1.Agro,15.324398510249088
BGD,2.Media,3.TCP_fliares,1.Agro,44.14994266500132
BGD,3-Alta,3.TCP_fliares,1.Agro,0.05676238370986386
BGD,1.Baja,1.Asalariado_patr,2.No_agro,2.425608974494984
BGD,2.Media,1.Asalariado_patr,2.No_agro,6.725826180610034
BGD,3-Alta,1.Asalariado_patr,2.No_agro,2.029977350154592
BGD,1.Baja,3.TCP_fliares,2.No_agro,0.8822288347513481
BGD,2.Media,3.TCP_fliares,2.No_agro,7.589208587060717
BGD,3-Alta,3.TCP_fliares,2.No_agro,0.7065549397021452
BGR,1.Baja,1.Asalariado_patr,1.Agro,5.0586244671264415
BGR,2.Media,1.Asalariado_patr,1.Agro,13.356078555954763
BGR,3-Alta,1.Asalariado_patr,1.Agro,0.6203269628297826
BGR,1.Baja,3.TCP_fliares,1.Agro,0.7952743657956041
BGR,2.Media,3.TCP_fliares,1.Agro,5.781541948143681
BGR,3-Alta,3.TCP_fliares,1.Agro,1.2860585977190369
BGR,1.Baja,1.Asalariado_patr,2.No_agro,7.41667205080245
BGR,2.Media,1.Asalariado_patr,2.No_agro,39.99383003502192
BGR,3-Alta,1.Asalariado_patr,2.No_agro,20.520781685022534
BGR,1.Baja,3.TCP_fliares,2.No_agro,0.09880206249580897
BGR,2.Media,3.TCP_fliares,2.No_agro,1.4669999662488291
BGR,3-Alta,3.TCP_fliares,2.No_agro,3.6050093028391514
BHS,1.Baja,1.Asalariado_patr,1.Agro,0
BHS,2.Media,1.Asalariado_patr,1.Agro,1.4865594178206598
BHS,3-Alta,1.Asalariado_patr,1.Agro,0
BHS,1.Baja,3.TCP_fliares,1.Agro,0
BHS,2.Media,3.TCP_fliares,1.Agro,2.143661769176169
BHS,3-Alta,3.TCP_fliares,1.Agro,0
BHS,1.Baja,1.Asalariado_patr,2.No_agro,13.100493814371712
BHS,2.Media,1.Asalariado_patr,2.No_agro,43.57692699274225
BHS,3-Alta,1.Asalariado_patr,2.No_agro,23.842907606183942
BHS,1.Baja,3.TCP_fliares,2.No_agro,1.2554018866699805
BHS,2.Media,3.TCP_fliares,2.No_agro,11.955520853157044
BHS,3-Alta,3.TCP_fliares,2.No_agro,2.63852765987823
BIH,1.Baja,1.Asalariado_patr,1.Agro,2.173760862386995
BIH,2.Media,1.Asalariado_patr,1.Agro,6.169719715044942
BIH,3-Alta,1.Asalariado_patr,1.Agro,0.2644151211164215
BIH,1.Baja,3.TCP_fliares,1.Agro,5.577857019479648
BIH,2.Media,3.TCP_fliares,1.Agro,38.603981536054114
BIH,3-Alta,3.TCP_fliares,1.Agro,0.9218009341669031
BIH,1.Baja,1.Asalariado_patr,2.No_agro,4.229900860656883
