iso3c,calificacion,ocupacion,rama,freq
AFG,1.Baja,1.Asalariado_patr,1.Agro,0.14771232609710153
AFG,2.Media,1.Asalariado_patr,1.Agro,1.973827380588276
AFG,3.Alta,1.Asalariado_patr,1.Agro,0.006324622707081959
AFG,1.Baja,3.TCP_fliares,1.Agro,1.3849109736285148
AFG,2.Media,3.TCP_fliares,1.Agro,42.1647722881927
AFG,3.Alta,3.TCP_fliares,1.Agro,0.010155816096513767
AFG,1.Baja,1.Asalariado_patr,2.No_agro,7.223838584830001
AFG,2.Media,1.Asalariado_patr,2.No_agro,10.248142245181246
AFG,3.Alta,1.Asalariado_patr,2.No_agro,5.441774453142797
AFG,1.Baja,3.TCP_fliares,2.No_agro,7.199314016310684
AFG,2.Media,3.TCP_fliares,2.No_agro,23.27039200463757
AFG,3.Alta,3.TCP_fliares,2.No_agro,0.928835288587532
AGO,1.Baja,1.Asalariado_patr,1.Agro,0.18157394760666454
AGO,2.Media,1.Asalariado_patr,1.Agro,4.599713802898898
AGO,3.Alta,1.Asalariado_patr,1.Agro,0.07166074928418285
AGO,1.Baja,3.TCP_fliares,1.Agro,2.1244636804707153
AGO,2.Media,3.TCP_fliares,1.Agro,46.60715679994547
AGO,3.Alta,3.TCP_fliares,1.Agro,0.0563379976208235
AGO,1.Baja,1.Asalariado_patr,2.No_agro,3.1254012437292804
AGO,2.Media,1.Asalariado_patr,2.No_agro,12.549926714058847
AGO,3.Alta,1.Asalariado_patr,2.No_agro,9.499339912684581
AGO,1.Baja,3.TCP_fliares,2.No_agro,4.524961505883216
AGO,2.Media,3.TCP_fliares,2.No_agro,15.735346934963838
AGO,3.Alta,3.TCP_fliares,2.No_agro,0.924116710853474
ALB,1.Baja,1.Asalariado_patr,1.Agro,0.009992565429674319
ALB,2.Media,1.Asalariado_patr,1.Agro,1.1023377492220947
ALB,3.Alta,1.Asalariado_patr,1.Agro,0.015941839032226537
ALB,1.Baja,3.TCP_fliares,1.Agro,0.1456939950339012
ALB,2.Media,3.TCP_fliares,1.Agro,39.89517665657872
