ref_area,ref_area.label,calif,1.Agro,2.No_agro,9.SD
ABW,Aruba,1.Baja,0.174,6.302,0.056
ABW,Aruba,2.Media,0.084,25.217,0.071
ABW,Aruba,3.Alta,0.038,14.277,0.055
ABW,Aruba,9.SD,0,0.206,0.044
AFG,Afghanistan,1.Baja,93.2755,877.7935,2.217
AFG,Afghanistan,2.Media,2686.2765,2039.9389999999999,19.4805
AFG,Afghanistan,3.Alta,1.003,387.7155,6.9565
AFG,Afghanistan,9.SD,1.7389999999999999,176.749,404.1685
AGO,Angola,1.Baja,146.633,486.46025000000003,41.933499999999995
AGO,Angola,2.Media,3256.0687500000004,1798.56325,140.311
AGO,Angola,3.Alta,8.139,662.79175,54.645999999999994
AGO,Angola,9.SD,24.37625,196.35975,307.31166666666667
ALB,Albania,1.Baja,1.7681111111111112,64.3001,0.361
ALB,Albania,2.Media,465.6032,412.6455,0.7034
ALB,Albania,3.Alta,1.1986,190.1709,0.908
ALB,Albania,9.SD,0,5.7814,0.131
ARE,United Arab Emirates,1.Baja,32.12133333333333,1127.3323333333333,0.5335
ARE,United Arab Emirates,2.Media,68.91566666666667,2676.1753333333336,5.3919999999999995
ARE,United Arab Emirates,3.Alta,11.249333333333333,2099.4763333333335,6.575666666666667
ARE,United Arab Emirates,9.SD,0,60.66566666666667,1196.5796666666665
ARG,Argentina,1.Baja,23.625555555555557,1707.9403333333335,14.127777777777778
ARG,Argentina,2.Media,37.498000000000005,5609.8640000000005,88.12822222222222
ARG,Argentina,3.Alta,14.409333333333333,2601.840777777778,111.14577777777778
ARG,Argentina,9.SD,3.4904444444444445,833.4941111111111,53.01722222222222
ARM,Armenia,1.Baja,6.256399999999999,71.5992,0
ARM,Armenia,2.Media,356.4594,311.6888,0
ARM,Armenia,3.Alta,1.3832,309.5066,0
AUS,Australia,1.Baja,68.04290909090909,892.1685454545454,0.8106
AUS,Australia,2.Media,233.87536363636363,5221.284818181818,9.257333333333333
AUS,Australia,3.Alta,22.367727272727272,5251.596181818181,6.474
AUS,Australia,9.SD,0.018,0.38733333333333336,0
AUT,Austria,1.Baja,6.387636363636363,352.29027272727274,0
AUT,Austria,2.Media,177.36590909090907,1944.5847272727274,0
AUT,Austria,3.Alta,4.909454545454546,1654.1151818181818,0
AUT,Austria,9.SD,0,10.936818181818182,2.821727272727273
BEL,Belgium,1.Baja,7.338,453.362,0
BEL,Belgium,2.Media,44.83627272727273,1967.4762727272728,0
BEL,Belgium,3.Alta,3.597909090909091,2075.9732727272726,0
BEL,Belgium,9.SD,0,26.866090909090907,0
BEN,Benin,1.Baja,0.92,29.14,1.3
BEN,Benin,2.Media,1242.57,1376.81,6.76
BEN,Benin,3.Alta,2.9,225.07,29.26
BEN,Benin,9.SD,5.24,6.640000000000001,8.38
BFA,Burkina Faso,1.Baja,35.541,382.132,0
BFA,Burkina Faso,2.Media,1104.95,2173.452,0
BFA,Burkina Faso,3.Alta,20.177,551.373,0
BFA,Burkina Faso,9.SD,5.602,31.81,0
BGD,Bangladesh,1.Baja,8227.13025,5288.34375,0.5776666666666667
BGD,Bangladesh,2.Media,17206.62375,22885.89375,4.052
BGD,Bangladesh,3.Alta,31.028,4374.97975,0
BGD,Bangladesh,9.SD,0,98.41066666666667,0
BGR,Bulgaria,1.Baja,45.111909090909094,289.5825454545455,0
BGR,Bulgaria,2.Media,147.48027272727273,1597.5482727272727,0
BGR,Bulgaria,3.Alta,14.691181818181818,929.603090909091,0
BGR,Bulgaria,9.SD,0,25.064090909090908,0
BHS,Bahamas,1.Baja,0,31.063,0
BHS,Bahamas,2.Media,1.571,120.16,0
BHS,Bahamas,3.Alta,0,57.300000000000004,0
BHS,Bahamas,9.SD,0.179,0,0.406
BIH,Bosnia and Herzegovina,1.Baja,22.09990909090909,62.85272727272727,0
BIH,Bosnia and Herzegovina,2.Media,127.6500909090909,408.9160909090909,0
BIH,Bosnia and Herzegovina,3.Alta,3.3819090909090908,188.07463636363636,0
BIH,Bosnia and Herzegovina,9.SD,0.692,7.140090909090909,0
BLR,Belarus,1.Baja,57.7874,317.688,1.215
BLR,Belarus,2.Media,339.8382,2115.9818,1.712
BLR,Belarus,3.Alta,117.801,1768.4486,2.811
BLR,Belarus,9.SD,0,57.109,1.44725
BLZ,Belize,1.Baja,11.209999999999999,21.126166666666666,0.0848
BLZ,Belize,2.Media,14.206833333333332,75.6885,0.3125
BLZ,Belize,3.Alta,0.5028333333333334,23.201999999999998,0.0418
BLZ,Belize,9.SD,0.033,1.097,0.341
BMU,Bermuda,1.Baja,0.0125,1.036,0
BMU,Bermuda,2.Media,0.2685,15.9635,0
BMU,Bermuda,3.Alta,0.1765,18.338,0
BOL,"Bolivia, Plurinational State of",1.Baja,58.5589,322.1356,0
BOL,"Bolivia, Plurinational State of",2.Media,1457.0059,2308.6096,1.0206666666666666
BOL,"Bolivia, Plurinational State of",3.Alta,12.825800000000001,770.679,0
BOL,"Bolivia, Plurinational State of",9.SD,1.8405999999999998,69.6983,0.1728
BRA,Brazil,1.Baja,2451.4918,14362.039,259.08
BRA,Brazil,2.Media,6794.456999999999,45196.3624,371.5336
BRA,Brazil,3.Alta,166.1202,20254.868,90.4451
BRA,Brazil,9.SD,357.46366666666665,893.5408,5.051666666666667
BRB,Barbados,1.Baja,0.83,18.137,0
BRB,Barbados,2.Media,2.523,62.119,0
BRB,Barbados,3.Alta,0.082,37.97,0
BRB,Barbados,9.SD,1.972,63.6785,0
BRN,Brunei Darussalam,1.Baja,3.41025,28.266750000000002,0
BRN,Brunei Darussalam,2.Media,3.18175,82.04425,0
BRN,Brunei Darussalam,3.Alta,0.75975,76.87525,0
BRN,Brunei Darussalam,9.SD,0,5.752750000000001,0
BTN,Bhutan,1.Baja,0.4384,6.402285714285714,0
BTN,Bhutan,2.Media,171.114,53.16571428571429,0
BTN,Bhutan,3.Alta,0.5992,24.420571428571428,0
BTN,Bhutan,9.SD,0,4.858499999999999,0
BWA,Botswana,1.Baja,51.03633333333333,128.93233333333333,0.49
BWA,Botswana,2.Media,71.57566666666666,289.20733333333334,2.18
BWA,Botswana,3.Alta,1.2326666666666666,130.478,1.23
BWA,Botswana,9.SD,0,2.229,1.5325
CAN,Canada,1.Baja,14.516666666666666,1352.1333333333332,0
CAN,Canada,2.Media,341.6666666666667,8063.166666666667,0
CAN,Canada,3.Alta,21.116666666666667,7502.75,0
CHE,Switzerland,1.Baja,13.344090909090909,233.3999090909091,0.4966363636363636
CHE,Switzerland,2.Media,116.06363636363636,2006.243909090909,2.2653636363636362
CHE,Switzerland,3.Alta,17.214909090909092,2059.545818181818,2.0582727272727275
CHE,Switzerland,9.SD,0.533,16.124909090909092,0.08016666666666666
CHL,Chile,1.Baja,394.0939090909091,1413.1288181818181,8.152
CHL,Chile,2.Media,278.6200909090909,3804.823909090909,27.367
CHL,Chile,3.Alta,35.13809090909091,2083.4269090909092,20.625
CHL,Chile,9.SD,3.913111111111111,55.83490909090909,7.451833333333333
CIV,Côte d'Ivoire,1.Baja,136.05633333333333,453.53,0
CIV,Côte d'Ivoire,2.Media,3873.737,3314.1286666666665,0
CIV,Côte d'Ivoire,3.Alta,19.442999999999998,611.011,0
CIV,Côte d'Ivoire,9.SD,6.397,130.13366666666667,346.1275
CMR,Cameroon,1.Baja,3.897,530.908,2.413
CMR,Cameroon,2.Media,3983.941,2940.27,0
CMR,Cameroon,3.Alta,22.43,890.032,4.235
CMR,Cameroon,9.SD,0,46.736,3.814
COD,"Congo, Democratic Republic of the",1.Baja,1611.2265,1376.278,185.6665
COD,"Congo, Democratic Republic of the",2.Media,18477.716,7418.452,273.7545
COD,"Congo, Democratic Republic of the",3.Alta,30.508,3418.553,111.7295
COD,"Congo, Democratic Republic of the",9.SD,73.839,505.636,143.0125
COG,Congo,1.Baja,0,65.102,0
COG,Congo,2.Media,38.834,685.2909999999999,4.035
COG,Congo,3.Alta,0,172.30599999999998,4.181
COG,Congo,9.SD,0,51.976,0
COK,Cook Islands,1.Baja,0,1.0175,0
COK,Cook Islands,2.Media,0.3225,3.4844999999999997,0
COK,Cook Islands,3.Alta,0.063,2.718,0
COK,Cook Islands,9.SD,0,0,0.876
COL,Colombia,1.Baja,336.1670909090909,1480.2227272727273,0.4411111111111111
COL,Colombia,2.Media,1837.3682727272728,8712.135727272727,1.598818181818182
COL,Colombia,3.Alta,1275.573818181818,6510.185181818182,1.2075454545454545
COL,Colombia,9.SD,0,0.8044,0.7892727272727272
COM,Comoros,1.Baja,0.127,5.421,0
COM,Comoros,2.Media,65.507,71.446,0
COM,Comoros,3.Alta,0.204,27.227,0
COM,Comoros,9.SD,0,3.367,0
CPV,Cape Verde,1.Baja,11.4006,34.3834,0.31066666666666665
CPV,Cape Verde,2.Media,12.458,84.6796,0.896
CPV,Cape Verde,3.Alta,0.1018,27.962,0.272
CPV,Cape Verde,9.SD,0.1895,0.825,1.305
CRI,Costa Rica,1.Baja,125.76490909090909,346.2339090909091,0.7919090909090909
CRI,Costa Rica,2.Media,160.66272727272727,974.8086363636363,2.5676363636363635
CRI,Costa Rica,3.Alta,7.169818181818182,437.8931818181818,1.815
CRI,Costa Rica,9.SD,0.9205714285714286,15.092545454545455,3.2095454545454545
CUB,Cuba,1.Baja,327.162,647.5606666666666,27.02766666666667
CUB,Cuba,2.Media,684.2725,1623.085,28.916999999999998
CUB,Cuba,3.Alta,143.257,1479.8005,10.523
CYM,Cayman Islands,1.Baja,0.0282,2.5625999999999998,0.015
CYM,Cayman Islands,2.Media,0.207,5.84425,0.027
CYM,Cayman Islands,3.Alta,0.019,14.055,0.0465
CYM,Cayman Islands,9.SD,0,0.027,0.353
CYP,Cyprus,1.Baja,3.9262727272727274,56.392818181818186,0
CYP,Cyprus,2.Media,8.315636363636363,176.73727272727274,0
CYP,Cyprus,3.Alta,0.44572727272727275,131.5210909090909,0
CYP,Cyprus,9.SD,0.209,5.139,0
CZE,Czechia,1.Baja,11.615636363636364,275.21945454545454,0
CZE,Czechia,2.Media,107.09981818181818,2704.344090909091,0
CZE,Czechia,3.Alta,28.432545454545455,1914.6577272727272,0
CZE,Czechia,9.SD,0,3.1211,0.29185714285714287
DEU,Germany,1.Baja,101.26781818181819,3117.277727272727,0
DEU,Germany,2.Media,424.33654545454544,18516.057818181816,0
DEU,Germany,3.Alta,50.27490909090909,17548.261181818183,0
DEU,Germany,9.SD,0.09233333333333332,333.1868181818182,0
DJI,Djibouti,1.Baja,0,7.5329999999999995,0.858
DJI,Djibouti,2.Media,0.779,35.407,3.276
DJI,Djibouti,3.Alta,0,22.506999999999998,1.116
DJI,Djibouti,9.SD,0,9.491000000000001,1.428
DNK,Denmark,1.Baja,12.187727272727273,258.3434545454545,1.2193636363636364
DNK,Denmark,2.Media,49.63554545454546,1107.3616363636363,2.2722727272727274
DNK,Denmark,3.Alta,3.980909090909091,1263.9192727272728,1.848
DNK,Denmark,9.SD,0.15416666666666667,18.57690909090909,3.2916363636363637
DOM,Dominican Republic,1.Baja,157.79463636363636,711.832,0
DOM,Dominican Republic,2.Media,265.005,2179.4441818181817,0
DOM,Dominican Republic,3.Alta,5.3799090909090905,699.2737272727272,0
DOM,Dominican Republic,9.SD,0,31.653363636363636,0
DZA,Algeria,1.Baja,232,1287,0
DZA,Algeria,2.Media,650,6211,0
DZA,Algeria,3.Alta,15,1727,0
DZA,Algeria,9.SD,1,114,0
ECU,Ecuador,1.Baja,802.748,973.1927272727272,0
ECU,Ecuador,2.Media,1101.9632727272726,3095.0145454545454,0
ECU,Ecuador,3.Alta,17.557454545454547,937.898,0
ECU,Ecuador,9.SD,0,30.45918181818182,0
EGY,Egypt,1.Baja,137.4898,1889.8146,2.8561666666666667
EGY,Egypt,2.Media,5043.1264,9860.8656,5.880375
EGY,Egypt,3.Alta,1222.6563,6408.8864,10.939833333333334
EGY,Egypt,9.SD,0,9.390666666666666,11.51525
ESP,Spain,1.Baja,302.853,2076.320090909091,0
ESP,Spain,2.Media,419.3082727272727,9323.469454545455,0
ESP,Spain,3.Alta,38.876636363636365,6158.9764545454545,0
