ref_area,ref_area.label,catocup,1.Baja,2.Media,3.Alta,9.SD
AFG,Afghanistan,1.Asalariado_patr,486.921,847.9269999999999,345.81399999999996,163.677
AFG,Afghanistan,3.TCP_fliares,486.5885,3895.7365,51.147000000000006,44.870000000000005
AFG,Afghanistan,9.SD,0,1.519,0,374.558
AGO,Angola,1.Asalariado_patr,215.49325,1103.17375,642.09825,247.53050000000002
AGO,Angola,3.TCP_fliares,437.95125,4053.331,66.483,131.2725
AGO,Angola,9.SD,0.7585,4.48,4.701,97.67333333333333
ALB,Albania,1.Asalariado_patr,52.3912,274.4678,175.2876,5.9872
ALB,Albania,3.TCP_fliares,13.7136,602.4221,16.5888,0.074
ALB,Albania,9.SD,0,17.348,0,0
ARE,United Arab Emirates,1.Asalariado_patr,1138.498,2724.758333333333,2097.6416666666664,1245.8103333333333
ARE,United Arab Emirates,3.TCP_fliares,20.608666666666668,25.657,19.366,13.481
ARE,United Arab Emirates,9.SD,0,0,0.1765,2.441333333333333
ARG,Argentina,1.Asalariado_patr,1597.1538888888888,4268.158444444444,2328.8767777777775,653.13
ARG,Argentina,3.TCP_fliares,148.5211111111111,1467.014111111111,398.4095555555556,236.76611111111112
ARG,Argentina,9.SD,0,0.5376666666666666,0,0
ARM,Armenia,1.Asalariado_patr,70.73519999999999,262.1386,296.0836,0
ARM,Armenia,3.TCP_fliares,6.8069999999999995,405.9154,14.5728,0
ARM,Armenia,9.SD,1.01,0.04,0.05,0
AUS,Australia,1.Asalariado_patr,799.12,4648.454454545455,5173.792363636364,16.9197
AUS,Australia,3.TCP_fliares,104.74845454545455,506.60527272727273,465.1612727272727,1.41625
AUT,Austria,1.Asalariado_patr,345.26827272727274,1908.0417272727273,1502.3931818181818,10.952636363636364
AUT,Austria,3.TCP_fliares,13.409181818181818,213.909,156.63163636363637,0
AUT,Austria,9.SD,0,0,0,2.821727272727273
BEL,Belgium,1.Asalariado_patr,443.78972727272725,1732.226090909091,1704.8483636363635,27.230090909090908
BEL,Belgium,3.TCP_fliares,16.93581818181818,280.08618181818184,374.7377272727273,0
BEN,Benin,1.Asalariado_patr,17.61,312.90999999999997,162.98000000000002,10.63
BEN,Benin,3.TCP_fliares,13.41,2299.1400000000003,92.64,9.29
BEN,Benin,9.SD,0.34,14.09,1.61,0.34
BFA,Burkina Faso,1.Asalariado_patr,210.442,620.049,352.326,17.975
BFA,Burkina Faso,3.TCP_fliares,207.231,2656.744,219.22400000000002,19.592
BFA,Burkina Faso,9.SD,0,0,0,0
BGD,Bangladesh,1.Asalariado_patr,7848.835,12367.958999999999,3293.6473333333333,99.11233333333334
BGD,Bangladesh,3.TCP_fliares,6698.426666666666,26381.956000000002,820.5543333333334,0
BGD,Bangladesh,9.SD,18.872999999999998,161.3365,45.678,0
BGR,Bulgaria,1.Asalariado_patr,312.79163636363637,1540.5222727272726,803.6033636363636,25.064090909090908
BGR,Bulgaria,3.TCP_fliares,21.90281818181818,204.506,140.367,0
BHS,Bahamas,1.Asalariado_patr,29.590999999999998,105.12400000000001,54.3,0.128
BHS,Bahamas,3.TCP_fliares,1.436,16.656,3.043,0
BHS,Bahamas,9.SD,0,0,0,0.305
BIH,Bosnia and Herzegovina,1.Asalariado_patr,66.27763636363636,393.2998181818182,187.8489090909091,7.139818181818182
BIH,Bosnia and Herzegovina,3.TCP_fliares,18.60109090909091,143.26627272727274,3.4315454545454545,1.425
BLR,Belarus,1.Asalariado_patr,352.1162,2357.9004,1818.3794,112.25380000000001
BLR,Belarus,3.TCP_fliares,19.104,79.837,59.346399999999996,6.66
BLR,Belarus,9.SD,7.07,47.18,35.1,74.1
BLZ,Belize,1.Asalariado_patr,25.74416666666667,58.6225,21.639,1.4125
BLZ,Belize,3.TCP_fliares,6.7225,31.561166666666665,2.1413333333333333,0.0458
BLZ,Belize,9.SD,0,0,0,0
BOL,"Bolivia, Plurinational State of",1.Asalariado_patr,269.44759999999997,1106.0342,649.4254,48.045899999999996
BOL,"Bolivia, Plurinational State of",3.TCP_fliares,111.3614,2659.8876,134.0229,25.375333333333334
BOL,"Bolivia, Plurinational State of",9.SD,0,0,0,0
BRA,Brazil,1.Asalariado_patr,13724.9567,34543.9945,17516.9669,929.5129
BRA,Brazil,3.TCP_fliares,3340.6834,17783.610099999998,2968.2783,322.0127777777778
BRA,Brazil,9.SD,34.8545,173.7425,132.2585,6.576
BRB,Barbados,1.Asalariado_patr,16.856,49.369,16.057,53.067
BRB,Barbados,3.TCP_fliares,2.053,15.236,5.937,12.062
BRB,Barbados,9.SD,0,0,0,0.505
BRN,Brunei Darussalam,1.Asalariado_patr,30.690749999999998,77.306,75.25075,5.75575
BRN,Brunei Darussalam,3.TCP_fliares,0.94575,7.60475,2.362,0
BRN,Brunei Darussalam,9.SD,0,1.264,0,0
BTN,Bhutan,1.Asalariado_patr,8.9975,43.3985,43.8885,4.867
BTN,Bhutan,3.TCP_fliares,1.3159999999999998,197.7985,5.4725,0
BWA,Botswana,1.Asalariado_patr,156.04,264.13,116.66,0.17
BWA,Botswana,3.TCP_fliares,16.509999999999998,33.43,4.52,0
BWA,Botswana,9.SD,1.67,42.54,0.07,0
CHE,Switzerland,1.Asalariado_patr,227.8742727272727,1875.9856363636363,1872.2461818181819,15.399727272727272
CHE,Switzerland,3.TCP_fliares,19.480818181818183,248.58763636363636,206.57345454545455,1.2234545454545456
CHL,Chile,1.Asalariado_patr,1492.4365454545455,2946.907,1892.9028181818182,56.877
CHL,Chile,3.TCP_fliares,315.5271818181818,1139.025090909091,227.5379090909091,6.381636363636363
CIV,Côte d'Ivoire,1.Asalariado_patr,333.47933333333333,1263.3043333333335,474.12833333333333,273.379
CIV,Côte d'Ivoire,3.TCP_fliares,228.21066666666667,5815.822666666667,133.97333333333333,55.37266666666667
CIV,Côte d'Ivoire,9.SD,41.211999999999996,163.1085,33.5275,34.980666666666664
CMR,Cameroon,1.Asalariado_patr,216.936,1192.868,661.233,52.375
CMR,Cameroon,3.TCP_fliares,296.39799999999997,5693.727,232.98200000000003,0
CMR,Cameroon,9.SD,23.884,38.62,22.482,2.006
COD,"Congo, Democratic Republic of the",1.Asalariado_patr,858.515,3056.233,3302.532,359.92499999999995
COD,"Congo, Democratic Republic of the",3.TCP_fliares,2314.8095,23113.691000000003,259.8355,333.893
