ref_area,ref_area.label,catocup,1.Agro,2.No_agro,9.SD
AFG,Afghanistan,1.Asalariado_patr,124.54033333333334,1503.5486666666666,22.3975
AFG,Afghanistan,3.TCP_fliares,2554.692,2106.877,36.782000000000004
AFG,Afghanistan,9.SD,1.77,0.5436666666666666,274.2956666666667
AGO,Angola,1.Asalariado_patr,310.833,1713.9850000000001,244.27533333333335
AGO,Angola,3.TCP_fliares,3123.31025,1423.662,188.58766666666665
AGO,Angola,9.SD,1.0676666666666665,7.894333333333333,96.951
ALB,Albania,1.Asalariado_patr,12.91090909090909,490.98927272727275,1.6849999999999998
ALB,Albania,3.TCP_fliares,459.18636363636364,178.12745454545455,0.3146
ALB,Albania,9.SD,17.348,0,0
ARE,United Arab Emirates,1.Asalariado_patr,111.12233333333333,5899.5380000000005,1196.1253333333334
ARE,United Arab Emirates,3.TCP_fliares,0.913,62.510333333333335,10.005333333333333
ARE,United Arab Emirates,9.SD,0,0,2.5203333333333333
ARG,Argentina,1.Asalariado_patr,55.23444444444445,8590.993555555555,201.25022222222222
ARG,Argentina,3.TCP_fliares,23.764666666666667,2161.7457777777777,65.05744444444444
ARG,Argentina,9.SD,0,0,0
ARM,Armenia,1.Asalariado_patr,14.370454545454546,637.2223636363636,0
ARM,Armenia,3.TCP_fliares,369.3910909090909,84.31963636363636,0
ARM,Armenia,9.SD,0,0,6.7487142857142866
ATG,Antigua and Barbuda,1.Asalariado_patr,0.473,31.738,0.48
ATG,Antigua and Barbuda,3.TCP_fliares,0.431,3.7809999999999997,0
ATG,Antigua and Barbuda,9.SD,0,10.212000000000002,0.262
AUS,Australia,1.Asalariado_patr,168.7118181818182,10143.558727272726,323.95663636363633
AUS,Australia,3.TCP_fliares,150.14218181818183,907.1770909090909,12.32909090909091
AUT,Austria,1.Asalariado_patr,55.02163636363636,3711.634181818182,0
AUT,Austria,3.TCP_fliares,133.64163636363637,250.28145454545455,0
AUT,Austria,9.SD,0,0,2.821727272727273
BDI,Burundi,1.Asalariado_patr,142.75199999999998,350.497,0
BDI,Burundi,3.TCP_fliares,3022.97,155.78,0
BDI,Burundi,9.SD,0,0,2.424
BEL,Belgium,1.Asalariado_patr,13.99618181818182,3894.0835454545454,0
BEL,Belgium,3.TCP_fliares,41.81518181818182,629.8340000000001,0
BEN,Benin,1.Asalariado_patr,35.98833333333333,498.46366666666665,37.43
BEN,Benin,3.TCP_fliares,1431.1796666666667,1461.8509999999999,4.0649999999999995
BEN,Benin,9.SD,9.48,6.74,0.14
BFA,Burkina Faso,1.Asalariado_patr,75.14266666666666,976.6123333333334,2.868
BFA,Burkina Faso,3.TCP_fliares,2752.424666666667,2175.9083333333333,18.51
BFA,Burkina Faso,9.SD,4.043,8.5705,4.875
BGD,Bangladesh,1.Asalariado_patr,6186.697,17417.140666666666,2.2216666666666667
BGD,Bangladesh,3.TCP_fliares,19288.957333333332,14611.554666666667,0
BGD,Bangladesh,9.SD,18.905,206.983,0
BGR,Bulgaria,1.Asalariado_patr,110.28,2571.7015454545453,0
BGR,Bulgaria,3.TCP_fliares,97.00345454545455,268.6492727272727,0
BHS,Bahamas,1.Asalariado_patr,1.1039999999999999,187.74699999999999,0.459
BHS,Bahamas,3.TCP_fliares,0.796,20.65,0
BHS,Bahamas,9.SD,0,0,0.305
BIH,Bosnia and Herzegovina,1.Asalariado_patr,24.433272727272726,630.0868181818182,0
BIH,Bosnia and Herzegovina,3.TCP_fliares,128.899,36.269363636363636,0
BLR,Belarus,1.Asalariado_patr,496.35325,4215.4925,2.66575
BLR,Belarus,3.TCP_fliares,26.56175,149.372,0
BLZ,Belize,1.Asalariado_patr,14.618666666666666,92.11216666666667,0.6878333333333333
BLZ,Belize,3.TCP_fliares,11.340333333333334,29.008499999999998,0.12025
BLZ,Belize,9.SD,0,0,0.0416
BOL,"Bolivia, Plurinational State of",1.Asalariado_patr,199.0335,1874.0387,0.57725
BOL,"Bolivia, Plurinational State of",3.TCP_fliares,1330.27,1597.121,0.2015
BOL,"Bolivia, Plurinational State of",9.SD,0,0,0
BRA,Brazil,1.Asalariado_patr,3778.9068,62598.6537,337.743
BRA,Brazil,3.TCP_fliares,5948.9124,18045.941,387.4046
BRA,Brazil,9.SD,29.8375,310.949,1.918
BRB,Barbados,1.Asalariado_patr,2.0336,103.6402,0.11
BRB,Barbados,3.TCP_fliares,1.7312,20.733,0
BRB,Barbados,9.SD,0,0.431,0
BRN,Brunei Darussalam,1.Asalariado_patr,4.5032499999999995,184.49975,0
BRN,Brunei Darussalam,3.TCP_fliares,2.52075,8.323,0
BRN,Brunei Darussalam,9.SD,1.264,0,0
BTN,Bhutan,1.Asalariado_patr,1.3165,99.7305,0
BTN,Bhutan,3.TCP_fliares,159.3195,45.2425,0
BWA,Botswana,1.Asalariado_patr,45.275999999999996,444.956,2.434
BWA,Botswana,3.TCP_fliares,59.531000000000006,53.3425,0.06
BWA,Botswana,9.SD,21.665,0.623,0.586
CAN,Canada,1.Asalariado_patr,162.57281818181818,15752.34709090909,0
CAN,Canada,3.TCP_fliares,135.7200909090909,1746.153,0
CHE,Switzerland,1.Asalariado_patr,49.33272727272727,3938.882,3.402090909090909
CHE,Switzerland,3.TCP_fliares,97.92318181818182,376.42027272727273,1.3709090909090909
CHL,Chile,1.Asalariado_patr,515.9306363636364,5867.841181818182,59.181
CHL,Chile,3.TCP_fliares,195.15472727272729,1489.5397272727273,6.936166666666667
CIV,Côte d'Ivoire,1.Asalariado_patr,281.5696,1630.4684,293.1855
CIV,Côte d'Ivoire,3.TCP_fliares,3290.6027999999997,2483.5932,0
CIV,Côte d'Ivoire,9.SD,50.30925,155.8965,52.471
CMR,Cameroon,1.Asalariado_patr,192.25,1919.1580000000001,9.3
CMR,Cameroon,3.TCP_fliares,3807.415,2414.734,0
CMR,Cameroon,9.SD,10.921,75.42,0
COD,"Congo, Democratic Republic of the",1.Asalariado_patr,648.449,6438.5735,309.125
COD,"Congo, Democratic Republic of the",3.TCP_fliares,19507.921000000002,6027.733,317.1145
COD,"Congo, Democratic Republic of the",9.SD,0,0,171.682
COG,Congo,1.Asalariado_patr,10.6,678.0210000000001,7.771
COG,Congo,3.TCP_fliares,31.473,294.17900000000003,0
COK,Cook Islands,1.Asalariado_patr,0.065,6.546,0
COK,Cook Islands,3.TCP_fliares,0.3365,0.543,0
COK,Cook Islands,9.SD,0,0.096,0.845
COL,Colombia,1.Asalariado_patr,1355.765818181818,9168.487636363636,1.7039090909090908
COL,Colombia,3.TCP_fliares,2092.3564545454547,7516.626272727272,2.0205454545454544
COL,Colombia,9.SD,1.0303636363636364,18.280727272727272,0
COM,Comoros,1.Asalariado_patr,4.875,68.626,0
COM,Comoros,3.TCP_fliares,61.062,38.876000000000005,0
CPV,Cape Verde,1.Asalariado_patr,5.3415,70.32300000000001,3.73
CPV,Cape Verde,3.TCP_fliares,17.937,30.906,2.31
CPV,Cape Verde,9.SD,1.109,4.784,1.394
CRI,Costa Rica,1.Asalariado_patr,154.11618181818181,1394.9548181818182,7.765272727272727
CRI,Costa Rica,3.TCP_fliares,140.1089090909091,379.34063636363635,0.4457272727272727
CYP,Cyprus,1.Asalariado_patr,5.7014545454545456,327.80554545454544,0
CYP,Cyprus,3.TCP_fliares,7.0053636363636365,41.950545454545455,0
CZE,Czechia,1.Asalariado_patr,112.73927272727272,4219.263090909091,0.2734
CZE,Czechia,3.TCP_fliares,34.408545454545454,677.8157272727273,0
CZE,Czechia,9.SD,0,0.05475,0
DEU,Germany,1.Asalariado_patr,280.0898181818182,35479.28281818182,0
DEU,Germany,3.TCP_fliares,296.8811818181818,4035.8334545454545,0
DJI,Djibouti,1.Asalariado_patr,0.24,52.928,2.101
DJI,Djibouti,3.TCP_fliares,0.701,21.012,3.334
DJI,Djibouti,9.SD,0,1.0070000000000001,1.241
DNK,Denmark,1.Asalariado_patr,35.132363636363635,2438.815727272727,7.3001818181818185
DNK,Denmark,3.TCP_fliares,30.797363636363638,209.45954545454546,1.2595454545454545
DOM,Dominican Republic,1.Asalariado_patr,93.81981818181818,2291.6691818181816,0
DOM,Dominican Republic,3.TCP_fliares,334.35990909090907,1330.008090909091,0
ECU,Ecuador,1.Asalariado_patr,771.8291818181818,3135.532090909091,0
ECU,Ecuador,3.TCP_fliares,1146.9793636363636,1898.6840909090909,0
ECU,Ecuador,9.SD,9.633,6.066000000000001,0
EGY,Egypt,1.Asalariado_patr,3752.1904,15335.9869,22.102125
EGY,Egypt,3.TCP_fliares,2649.275,2830.8635,6.018571428571429
EGY,Egypt,9.SD,9.278,10.6005,0
ESP,Spain,1.Asalariado_patr,439.5680909090909,14872.615181818182,0
ESP,Spain,3.TCP_fliares,321.24781818181816,2770.095272727273,0
ESP,Spain,9.SD,0.3376666666666666,3.2556363636363637,0
EST,Estonia,1.Asalariado_patr,18.080545454545454,547.0325454545455,0.9638888888888889
EST,Estonia,3.TCP_fliares,6.568181818181818,51.475818181818184,0.0665
ETH,Ethiopia,1.Asalariado_patr,707.7180000000001,3540.714,0
ETH,Ethiopia,3.TCP_fliares,24466.806,6628.705,0
ETH,Ethiopia,9.SD,40.995,113.059,0
FIN,Finland,1.Asalariado_patr,31.351181818181818,2105.8733636363636,6.438818181818181
FIN,Finland,3.TCP_fliares,69.55127272727273,260.32190909090906,0
FJI,Fiji,1.Asalariado_patr,15.581000000000001,178.79166666666666,0
FJI,Fiji,3.TCP_fliares,114.74233333333333,30.837,0
FJI,Fiji,9.SD,0.08,0.255,0
FRA,France,1.Asalariado_patr,371.51890909090906,23762.763,226.8319090909091
FRA,France,3.TCP_fliares,358.29872727272726,1527.2073636363637,19.69390909090909
FRA,France,9.SD,0,0,2.0764285714285715
FSM,"Micronesia, Federated States of",1.Asalariado_patr,0.356,14.584999999999999,0
FSM,"Micronesia, Federated States of",3.TCP_fliares,11.922,2.726,0
FSM,"Micronesia, Federated States of",9.SD,0,0.495,5.352
GBR,United Kingdom of Great Britain and Northern Ireland,1.Asalariado_patr,190.60327272727272,25807.224636363637,903.8611818181819
GBR,United Kingdom of Great Britain and Northern Ireland,3.TCP_fliares,149.26981818181818,3517.9192727272725,103.70836363636364
GBR,United Kingdom of Great Britain and Northern Ireland,9.SD,0,1.4940909090909091,27.423272727272728
GEO,Georgia,1.Asalariado_patr,19.68018181818182,758.0968181818182,0
GEO,Georgia,3.TCP_fliares,730.5056363636363,160.57136363636363,0
GEO,Georgia,9.SD,0.7293333333333334,1.1245454545454545,4.8938749999999995
GHA,Ghana,1.Asalariado_patr,307.1265,2877.1620000000003,18.1085
GHA,Ghana,3.TCP_fliares,4132.208500000001,3324.61175,19.840666666666667
GHA,Ghana,9.SD,32.695750000000004,88.202,21.3
GIN,Guinea,1.Asalariado_patr,35.76,401.88,0.18
GIN,Guinea,3.TCP_fliares,1699.08,1197.33,0.19
GIN,Guinea,9.SD,0,0.13,0.22
GMB,Gambia,1.Asalariado_patr,11.171000000000001,162.73499999999999,0.8835
GMB,Gambia,3.TCP_fliares,262.14549999999997,210.2755,3.3395
GMB,Gambia,9.SD,0.507,24.581,38.956
GNB,Guinea-Bissau,1.Asalariado_patr,12.3135,64.3335,0
GNB,Guinea-Bissau,3.TCP_fliares,103.86,88.398,0
GNB,Guinea-Bissau,9.SD,0,0.62,283.59
GRC,Greece,1.Asalariado_patr,78.5900909090909,2665.699090909091,0
GRC,Greece,3.TCP_fliares,373.91227272727275,650.4626363636363,0
GRD,Grenada,1.Asalariado_patr,5.638,86.523,0
GRD,Grenada,3.TCP_fliares,6.2455,13.716999999999999,0
GRD,Grenada,9.SD,0,9.153,0
GTM,Guatemala,1.Asalariado_patr,963.1929,2833.3827,4.512333333333333
GTM,Guatemala,3.TCP_fliares,1026.0055,1359.8135,4.785
GTM,Guatemala,9.SD,0,0,0
GUY,Guyana,1.Asalariado_patr,20.3295,155.15699999999998,0.524
GUY,Guyana,3.TCP_fliares,18.006500000000003,51.998999999999995,0.29300000000000004
GUY,Guyana,9.SD,0,0,5.0504999999999995
HKG,"Hong Kong, China",1.Asalariado_patr,0,3110.9438,387.0623
HKG,"Hong Kong, China",3.TCP_fliares,0,177.16570000000002,57.3672
HND,Honduras,1.Asalariado_patr,561.7787272727272,1428.6309090909092,2.9513
HND,Honduras,3.TCP_fliares,526.921,863.565909090909,2.649428571428571
HND,Honduras,9.SD,1.1471666666666667,11.487666666666668,0
HRV,Croatia,1.Asalariado_patr,32.80372727272727,1287.507090909091,2.0265454545454546
HRV,Croatia,3.TCP_fliares,126.86527272727272,140.24072727272727,0
HTI,Haiti,1.Asalariado_patr,79.326,888.2149999999999,2.888
HTI,Haiti,3.TCP_fliares,1130.366,1672.299,0
HTI,Haiti,9.SD,0,0,89.592
HUN,Hungary,1.Asalariado_patr,133.46218181818182,3494.9372727272726,0
HUN,Hungary,3.TCP_fliares,64.35172727272727,395.54172727272726,0
HUN,Hungary,9.SD,0,0,8.616
IDN,Indonesia,1.Asalariado_patr,9578.720272727272,47934.65663636364,18.7655
IDN,Indonesia,3.TCP_fliares,30083.328,29229.124363636365,41.1935
IND,India,1.Asalariado_patr,4379.77425,82080.46625,0
IND,India,3.TCP_fliares,162993.468,121378.25600000001,0
IND,India,9.SD,2215.0765,3284.5325000000003,1451.304
IRL,Ireland,1.Asalariado_patr,26.085454545454546,1688.6594545454545,5.221636363636364
IRL,Ireland,3.TCP_fliares,83.02772727272728,250.88954545454547,0.461
IRN,"Iran, Islamic Republic of",1.Asalariado_patr,822.1397272727272,11915.021,111.36245454545454
IRN,"Iran, Islamic Republic of",3.TCP_fliares,2903.0484545454547,5832.1281818181815,2.6498181818181816
ISL,Iceland,1.Asalariado_patr,4.943888888888889,150.06877777777777,0.28633333333333333
ISL,Iceland,3.TCP_fliares,3.1214444444444447,18.301555555555556,0.059555555555555556
ISL,Iceland,9.SD,0.2514,0.9864,0.1916
ISR,Israel,1.Asalariado_patr,30.039375,3232.658375,82.126875
ISR,Israel,3.TCP_fliares,7.188,313.155875,3.354125
ISR,Israel,9.SD,0,0,1.151875
ITA,Italy,1.Asalariado_patr,425.4253636363636,16733.654818181818,0
ITA,Italy,3.TCP_fliares,421.5398181818182,5075.798636363636,0
JAM,Jamaica,1.Asalariado_patr,24.1423,697.1314,1.9274
JAM,Jamaica,3.TCP_fliares,178.6195,242.2333,0.24559999999999998
JAM,Jamaica,9.SD,0.1827,1.8604,0.1184
JOR,Jordan,1.Asalariado_patr,66.26433333333334,1917.3053333333335,0
JOR,Jordan,3.TCP_fliares,10.074666666666667,194.50933333333333,0
JPN,Japan,1.Asalariado_patr,755.1101818181818,56458.871999999996,682.644
JPN,Japan,3.TCP_fliares,1514.718,4105.346545454546,9.24
JPN,Japan,9.SD,0,439.40536363636363,1.095
KEN,Kenya,1.Asalariado_patr,1575.33,5789.082,0
KEN,Kenya,3.TCP_fliares,4712.151,6621.084,0
KEN,Kenya,9.SD,0,20.865,0
KGZ,Kyrgyzstan,1.Asalariado_patr,88.4046,1314.3518,0
KGZ,Kyrgyzstan,3.TCP_fliares,399.0455,381.8976,0
KGZ,Kyrgyzstan,9.SD,113.14044444444444,0.3446666666666666,0
KHM,Cambodia,1.Asalariado_patr,600.1163,2822.4508,0
KHM,Cambodia,3.TCP_fliares,3183.1268,1710.4289,0
KHM,Cambodia,9.SD,2.790833333333333,0.6930000000000001,0
KIR,Kiribati,1.Asalariado_patr,1.8339999999999999,15.492,0
KIR,Kiribati,3.TCP_fliares,2.047,4.415,0
KIR,Kiribati,9.SD,0.458,0.831,0
KOR,Republic of Korea,1.Asalariado_patr,177.3941818181818,17373.247727272726,0
KOR,Republic of Korea,3.TCP_fliares,1263.8807272727272,6844.031454545455,0
KOR,Republic of Korea,9.SD,0,75.83583333333333,74.99711111111111
KOS,Kosovo,1.Asalariado_patr,2.3221249999999998,260.883625,0.296
KOS,Kosovo,3.TCP_fliares,14.713,61.440374999999996,0.661
KOS,Kosovo,9.SD,0,0,0
LAO,Lao People's Democratic Republic,1.Asalariado_patr,33.74466666666667,483.2003333333333,22.339333333333332
LAO,Lao People's Democratic Republic,3.TCP_fliares,2008.5869999999998,394.8953333333333,70.763
LAO,Lao People's Democratic Republic,9.SD,1.843,7.0485,0.21
LBN,Lebanon,1.Asalariado_patr,26.402,1242.444,1.815
LBN,Lebanon,3.TCP_fliares,30.189,289.104,4.623
LBR,Liberia,1.Asalariado_patr,53.919999999999995,165.7275,94.557
LBR,Liberia,3.TCP_fliares,298.525,258.9615,230.3065
LBR,Liberia,9.SD,0.275,1.641,0
LCA,Saint Lucia,1.Asalariado_patr,3.24875,57.66975,1.6099999999999999
LCA,Saint Lucia,3.TCP_fliares,4.7787500000000005,11.51725,0.37925
LCA,Saint Lucia,9.SD,0,0.13749999999999998,0.9255
LKA,Sri Lanka,1.Asalariado_patr,687.4904444444444,3957.1863333333336,104.682
LKA,Sri Lanka,3.TCP_fliares,1484.6226666666666,1644.5111111111112,119.58699999999999
LSO,Lesotho,1.Asalariado_patr,51.078,379.967,0
LSO,Lesotho,3.TCP_fliares,141.272,71.607,0
LSO,Lesotho,9.SD,0,0.704,0
LTU,Lithuania,1.Asalariado_patr,47.589363636363636,1117.493181818182,0
LTU,Lithuania,3.TCP_fliares,61.454181818181816,92.30518181818182,0
LUX,Luxembourg,1.Asalariado_patr,0.6806363636363636,211.44281818181818,14.70190909090909
LUX,Luxembourg,3.TCP_fliares,2.167090909090909,18.468,2.683818181818182
LUX,Luxembourg,9.SD,0,0.2659,0.19066666666666665
LVA,Latvia,1.Asalariado_patr,36.39263636363636,749.7546363636363,0.1437
LVA,Latvia,3.TCP_fliares,33.15563636363636,68.58318181818181,0
LVA,Latvia,9.SD,0,0,0
MAR,Morocco,1.Asalariado_patr,778.59,4886.35,190.12
MAR,Morocco,3.TCP_fliares,1449.16,2106.66,50.51
MAR,Morocco,9.SD,13.94,49.32,40.08
MDA,Republic of Moldova,1.Asalariado_patr,65.58545454545455,654.2074545454545,1.373
MDA,Republic of Moldova,3.TCP_fliares,885.1235454545455,78.38372727272727,0
MDG,Madagascar,1.Asalariado_patr,398.06,1106.5825,0
MDG,Madagascar,3.TCP_fliares,7232.021500000001,1874.9365000000003,21.653
MDG,Madagascar,9.SD,4.464,3.8689999999999998,0
MDV,Maldives,1.Asalariado_patr,3.7225,112.8065,1.43925
MDV,Maldives,3.TCP_fliares,10.87375,24.01725,0.50975
MDV,Maldives,9.SD,2.189,3.387333333333333,2.19725
MEX,Mexico,1.Asalariado_patr,3206.2124545454544,31758.434272727274,632.4400909090909
MEX,Mexico,3.TCP_fliares,3523.819090909091,9752.524272727273,488.4265454545455
MHL,Marshall Islands,1.Asalariado_patr,0.506,13.11,0
MHL,Marshall Islands,3.TCP_fliares,0.53,1.658,0
MHL,Marshall Islands,9.SD,0,0.291,0
MKD,North Macedonia,1.Asalariado_patr,16.298181818181817,530.5416363636364,0
MKD,North Macedonia,3.TCP_fliares,100.16036363636364,42.77190909090909,0
MKD,North Macedonia,9.SD,0,0,0.32225
MLI,Mali,1.Asalariado_patr,224.53975,650.84975,7.63
MLI,Mali,3.TCP_fliares,3358.469,1298.919875,38.14
MLI,Mali,9.SD,80.49,156.32,38.997
MLT,Malta,1.Asalariado_patr,0.893625,171.254625,0
MLT,Malta,3.TCP_fliares,1.397,27.382375,0
MLT,Malta,9.SD,0,0,0
MMR,Myanmar,1.Asalariado_patr,3027.8197999999998,5576.8338,737.4555
MMR,Myanmar,3.TCP_fliares,8121.9187999999995,4991.5712,599.939
MNE,Montenegro,1.Asalariado_patr,2.3814444444444445,156.86166666666668,0
MNE,Montenegro,3.TCP_fliares,11.942555555555556,47.236222222222224,0
MNE,Montenegro,9.SD,3.858,0.144,0
MNG,Mongolia,1.Asalariado_patr,11.753181818181819,546.7199090909091,1.282
MNG,Mongolia,3.TCP_fliares,337.5160909090909,222.65663636363635,0.462
MNG,Mongolia,9.SD,0.626875,1.3966,24.06
MOZ,Mozambique,1.Asalariado_patr,274.378,1257.109,0
MOZ,Mozambique,3.TCP_fliares,6784.0070000000005,1257.175,0
MOZ,Mozambique,9.SD,25.313,220.934,5.644
MRT,Mauritania,1.Asalariado_patr,54.376999999999995,266.361,1.652
MRT,Mauritania,3.TCP_fliares,216.7155,278.672,0
MRT,Mauritania,9.SD,11.975000000000001,26.752000000000002,0.866
MUS,Mauritius,1.Asalariado_patr,23.067636363636364,415.50872727272724,0.23600000000000002
MUS,Mauritius,3.TCP_fliares,15.446727272727273,70.52636363636364,0
MUS,Mauritius,9.SD,0.05275,0.4714285714285715,1.993
MWI,Malawi,1.Asalariado_patr,1352.991,843.591,46.205000000000005
MWI,Malawi,3.TCP_fliares,2420.5,1095.191,54.242
MWI,Malawi,9.SD,0,0,336.907
NAM,Namibia,1.Asalariado_patr,62.898,392.14583333333337,2.2556
NAM,Namibia,3.TCP_fliares,116.42183333333334,90.14233333333334,1.00975
NAM,Namibia,9.SD,0.387,2.0136,0.5898
NCL,New Caledonia,1.Asalariado_patr,0.6593333333333333,56.62366666666667,34.529333333333334
NCL,New Caledonia,3.TCP_fliares,0.444,2.921,12.747333333333334
NCL,New Caledonia,9.SD,0,0.35133333333333333,1.2066666666666666
NER,Niger,1.Asalariado_patr,198.60025,472.70775,0.7296666666666667
NER,Niger,3.TCP_fliares,3200.6185,935.118,0
NER,Niger,9.SD,2.162,8.528500000000001,36.011
NIC,Nicaragua,1.Asalariado_patr,386.05600000000004,1119.0484999999999,1.8980000000000001
NIC,Nicaragua,3.TCP_fliares,485.0455,778.5445,0
NIC,Nicaragua,9.SD,5.211500000000001,3.4699999999999998,12.3255
NIU,Niue,1.Asalariado_patr,0.052,0.616,0
NIU,Niue,3.TCP_fliares,0.011,0.052,0
NLD,Netherlands,1.Asalariado_patr,81.68045454545454,6438.142454545455,616.1912727272727
NLD,Netherlands,3.TCP_fliares,102.57763636363637,1086.5094545454544,124.59718181818181
NLD,Netherlands,9.SD,0,0,0
NOR,Norway,1.Asalariado_patr,25.532454545454545,2391.6356363636364,4.806727272727272
NOR,Norway,3.TCP_fliares,33.20272727272727,148.87263636363636,0.7394444444444445
NOR,Norway,9.SD,0,0,0
NPL,Nepal,1.Asalariado_patr,733.342,3715.651,0
NPL,Nepal,3.TCP_fliares,1148.261,1800.203,0
NRU,Naoero,1.Asalariado_patr,0.057,3.352,0
NRU,Naoero,3.TCP_fliares,0.044,0.174,0
