iso3c,calificacion,ocupacion,rama,freq
AFG,1.Baja,1.Asalariado_patr,1.Agro,0.14347707327422693
AFG,1.Baja,1.Asalariado_patr,2.No_agro,7.657698369107473
AFG,1.Baja,3.TCP_fliares,1.Agro,1.2764537641880855
AFG,1.Baja,3.TCP_fliares,2.No_agro,7.432699384169158
AFG,2.Media,1.Asalariado_patr,1.Agro,1.8307040622076207
AFG,2.Media,1.Asalariado_patr,2.No_agro,10.734642056498812
AFG,2.Media,3.TCP_fliares,1.Agro,39.332031658514616
AFG,2.Media,3.TCP_fliares,2.No_agro,25.161790118198798
AFG,3.Alta,1.Asalariado_patr,1.Agro,0.00590002844365264
AFG,3.Alta,1.Asalariado_patr,2.No_agro,5.512753725246861
AFG,3.Alta,3.TCP_fliares,1.Agro,0.008858159412572196
AFG,3.Alta,3.TCP_fliares,2.No_agro,0.9029916007381305
AGO,1.Baja,1.Asalariado_patr,1.Agro,0.17857455253706148
AGO,1.Baja,1.Asalariado_patr,2.No_agro,3.2318072589094142
AGO,1.Baja,3.TCP_fliares,1.Agro,2.067001525170604
AGO,1.Baja,3.TCP_fliares,2.No_agro,4.607441598102263
AGO,2.Media,1.Asalariado_patr,1.Agro,4.479531830489295
AGO,2.Media,1.Asalariado_patr,2.No_agro,12.906567233371602
AGO,2.Media,3.TCP_fliares,1.Agro,45.40378783713787
AGO,2.Media,3.TCP_fliares,2.No_agro,16.112516207047836
AGO,3.Alta,1.Asalariado_patr,1.Agro,0.07170068895072064
AGO,3.Alta,1.Asalariado_patr,2.No_agro,9.942570498317247
AGO,3.Alta,3.TCP_fliares,1.Agro,0.05522913774940468
AGO,3.Alta,3.TCP_fliares,2.No_agro,0.9432716322166809
ALB,1.Baja,1.Asalariado_patr,1.Agro,0.009984433711637883
ALB,1.Baja,1.Asalariado_patr,2.No_agro,4.590666565839271
ALB,1.Baja,3.TCP_fliares,1.Agro,0.14610585265166096
ALB,1.Baja,3.TCP_fliares,2.No_agro,1.0599256461678324
ALB,2.Media,1.Asalariado_patr,1.Agro,1.1054177018900653
ALB,2.Media,1.Asalariado_patr,2.No_agro,23.089327005110988
ALB,2.Media,3.TCP_fliares,1.Agro,40.0006804589662
ALB,2.Media,3.TCP_fliares,2.No_agro,13.1828015523497
ALB,3.Alta,1.Asalariado_patr,1.Agro,0.01592898116597531
ALB,3.Alta,1.Asalariado_patr,2.No_agro,15.343424712322877
ALB,3.Alta,3.TCP_fliares,1.Agro,0.08987076026906664
ALB,3.Alta,3.TCP_fliares,2.No_agro,1.365866329554727
ARE,1.Baja,1.Asalariado_patr,1.Agro,0.5210131422297087
ARE,1.Baja,1.Asalariado_patr,2.No_agro,18.418013797508017
ARE,1.Baja,3.TCP_fliares,1.Agro,0.0065329553523824635
ARE,1.Baja,3.TCP_fliares,2.No_agro,0.3219122834814899
ARE,2.Media,1.Asalariado_patr,1.Agro,1.1248010187531359
ARE,2.Media,1.Asalariado_patr,2.No_agro,44.10197680192787
ARE,2.Media,3.TCP_fliares,1.Agro,0.007331124308667526
ARE,2.Media,3.TCP_fliares,2.No_agro,0.40066986704162116
ARE,3.Alta,1.Asalariado_patr,1.Agro,0.18363599860501278
ARE,3.Alta,1.Asalariado_patr,2.No_agro,34.60639625584339
ARE,3.Alta,3.TCP_fliares,1.Agro,0.0011669941618273247
ARE,3.Alta,3.TCP_fliares,2.No_agro,0.3065497607868583
ARG,1.Baja,1.Asalariado_patr,1.Agro,0.19169253495864386
ARG,1.Baja,1.Asalariado_patr,2.No_agro,15.570583961937356
ARG,1.Baja,3.TCP_fliares,1.Agro,0.03556041019287444
ARG,1.Baja,3.TCP_fliares,2.No_agro,1.469825652046952
ARG,2.Media,1.Asalariado_patr,1.Agro,0.21482024375916778
ARG,2.Media,1.Asalariado_patr,2.No_agro,41.61162091888503
ARG,2.Media,3.TCP_fliares,1.Agro,0.1482892250570553
ARG,2.Media,3.TCP_fliares,2.No_agro,14.616668063146772
ARG,3.Alta,1.Asalariado_patr,1.Agro,0.10341870391297499
ARG,3.Alta,1.Asalariado_patr,2.No_agro,22.130950616962387
ARG,3.Alta,3.TCP_fliares,1.Agro,0.03554881854910444
ARG,3.Alta,3.TCP_fliares,2.No_agro,3.8710208505916848
ARM,1.Baja,1.Asalariado_patr,1.Agro,0.13537399842995745
ARM,1.Baja,1.Asalariado_patr,2.No_agro,6.5280819172030515
ARM,1.Baja,3.TCP_fliares,1.Agro,0.457942863791102
ARM,1.Baja,3.TCP_fliares,2.No_agro,0.20193399242891863
ARM,2.Media,1.Asalariado_patr,1.Agro,1.143256845442057
ARM,2.Media,1.Asalariado_patr,2.No_agro,23.318398229777802
ARM,2.Media,3.TCP_fliares,1.Agro,32.85202160831835
ARM,2.Media,3.TCP_fliares,2.No_agro,6.12723872440827
ARM,3.Alta,1.Asalariado_patr,1.Agro,0.021505630361842745
ARM,3.Alta,1.Asalariado_patr,2.No_agro,27.804865156024764
ARM,3.Alta,3.TCP_fliares,1.Agro,0.10991302924991382
ARM,3.Alta,3.TCP_fliares,2.No_agro,1.2994680045639824
AUS,1.Baja,1.Asalariado_patr,1.Agro,0.3025142046779754
AUS,1.Baja,1.Asalariado_patr,2.No_agro,6.959732701892144
AUS,1.Baja,3.TCP_fliares,1.Agro,0.28596662544043344
AUS,1.Baja,3.TCP_fliares,2.No_agro,0.6704278046979593
AUS,2.Media,1.Asalariado_patr,1.Agro,1.0777817939692287
AUS,2.Media,1.Asalariado_patr,2.No_agro,40.99156474312794
AUS,2.Media,3.TCP_fliares,1.Agro,0.944751594667467
AUS,2.Media,3.TCP_fliares,2.No_agro,3.6616022463568276
AUS,3.Alta,1.Asalariado_patr,1.Agro,0.10359058723490605
AUS,3.Alta,1.Asalariado_patr,2.No_agro,41.2652784340106
AUS,3.Alta,3.TCP_fliares,1.Agro,0.08984113356447308
AUS,3.Alta,3.TCP_fliares,2.No_agro,3.646948130360059
AUT,1.Baja,1.Asalariado_patr,1.Agro,0.06302177594102538
AUT,1.Baja,1.Asalariado_patr,2.No_agro,8.279996396892008
AUT,1.Baja,3.TCP_fliares,1.Agro,0.09092988229922114
AUT,1.Baja,3.TCP_fliares,2.No_agro,0.23212406497529214
AUT,2.Media,1.Asalariado_patr,1.Agro,1.2435814200789148
AUT,2.Media,1.Asalariado_patr,2.No_agro,44.85949489727846
AUT,2.Media,3.TCP_fliares,1.Agro,3.029698014472557
AUT,2.Media,3.TCP_fliares,2.No_agro,2.123506158079531
AUT,3.Alta,1.Asalariado_patr,1.Agro,0.019034445590097954
AUT,3.Alta,1.Asalariado_patr,2.No_agro,36.28500256832863
AUT,3.Alta,3.TCP_fliares,1.Agro,0.0992033434179796
AUT,3.Alta,3.TCP_fliares,2.No_agro,3.6744070326462874
BEL,1.Baja,1.Asalariado_patr,1.Agro,0.08828077346205819
BEL,1.Baja,1.Asalariado_patr,2.No_agro,9.669500366700357
BEL,1.Baja,3.TCP_fliares,1.Agro,0.07240251452081775
BEL,1.Baja,3.TCP_fliares,2.No_agro,0.297315853922177
BEL,2.Media,1.Asalariado_patr,1.Agro,0.20573583397092507
BEL,2.Media,1.Asalariado_patr,2.No_agro,37.88329775678744
BEL,2.Media,3.TCP_fliares,1.Agro,0.7736828502378125
BEL,2.Media,3.TCP_fliares,2.No_agro,5.341058320536585
BEL,3.Alta,1.Asalariado_patr,1.Agro,0.011594971243626764
BEL,3.Alta,1.Asalariado_patr,2.No_agro,37.47589293559791
BEL,3.Alta,3.TCP_fliares,1.Agro,0.06696391497444176
BEL,3.Alta,3.TCP_fliares,2.No_agro,8.114273908045842
BEN,1.Baja,1.Asalariado_patr,1.Agro,0.003763343739449752
BEN,1.Baja,1.Asalariado_patr,2.No_agro,0.5612068061739913
BEN,1.Baja,3.TCP_fliares,1.Agro,0.02759620968927071
BEN,1.Baja,3.TCP_fliares,2.No_agro,0.43673553305842383
BEN,2.Media,1.Asalariado_patr,1.Agro,1.031365444637572
BEN,2.Media,1.Asalariado_patr,2.No_agro,9.181401024102936
BEN,2.Media,3.TCP_fliares,1.Agro,41.64465548249284
BEN,2.Media,3.TCP_fliares,2.No_agro,39.34374568906608
BEN,3.Alta,1.Asalariado_patr,1.Agro,0.014864365004352047
BEN,3.Alta,1.Asalariado_patr,2.No_agro,4.800534036329156
BEN,3.Alta,3.TCP_fliares,1.Agro,0.08374843541396586
BEN,3.Alta,3.TCP_fliares,2.No_agro,2.870383630291961
BFA,1.Baja,1.Asalariado_patr,1.Agro,0.08806612899868323
BFA,1.Baja,1.Asalariado_patr,2.No_agro,2.728102423730299
BFA,1.Baja,3.TCP_fliares,1.Agro,1.3270053852014105
BFA,1.Baja,3.TCP_fliares,2.No_agro,3.2799212543919016
BFA,2.Media,1.Asalariado_patr,1.Agro,1.1028753834012377
BFA,2.Media,1.Asalariado_patr,2.No_agro,9.175561644172072
BFA,2.Media,3.TCP_fliares,1.Agro,43.97206297524075
BFA,2.Media,3.TCP_fliares,2.No_agro,29.189188612158652
BFA,3.Alta,1.Asalariado_patr,1.Agro,0.06560632881356397
BFA,3.Alta,1.Asalariado_patr,2.No_agro,4.427405530627508
BFA,3.Alta,3.TCP_fliares,1.Agro,0.7274226655538826
BFA,3.Alta,3.TCP_fliares,2.No_agro,3.9167816677100378
BGD,1.Baja,1.Asalariado_patr,1.Agro,5.933473056573636
BGD,1.Baja,1.Asalariado_patr,2.No_agro,6.7908847643247485
BGD,1.Baja,3.TCP_fliares,1.Agro,8.415411470519759
BGD,1.Baja,3.TCP_fliares,2.No_agro,2.2857143816750636
BGD,2.Media,1.Asalariado_patr,1.Agro,4.798364434891302
BGD,2.Media,1.Asalariado_patr,2.No_agro,17.44690875269548
BGD,2.Media,3.TCP_fliares,1.Agro,25.100705057803196
BGD,2.Media,3.TCP_fliares,2.No_agro,21.659099670497675
BGD,3.Alta,1.Asalariado_patr,1.Agro,0.02682169842625583
BGD,3.Alta,1.Asalariado_patr,2.No_agro,6.050594696441811
BGD,3.Alta,3.TCP_fliares,1.Agro,0.02735878292726092
BGD,3.Alta,3.TCP_fliares,2.No_agro,1.464663233223804
BGR,1.Baja,1.Asalariado_patr,1.Agro,1.070558110018353
BGR,1.Baja,1.Asalariado_patr,2.No_agro,9.286140042587464
BGR,1.Baja,3.TCP_fliares,1.Agro,0.41318971127487897
BGR,1.Baja,3.TCP_fliares,2.No_agro,0.3030051081902662
BGR,2.Media,1.Asalariado_patr,1.Agro,2.382835441811434
BGR,2.Media,1.Asalariado_patr,2.No_agro,48.634069164524874
BGR,2.Media,3.TCP_fliares,1.Agro,2.453954526652278
BGR,2.Media,3.TCP_fliares,2.No_agro,4.2343673862218365
BGR,3.Alta,1.Asalariado_patr,1.Agro,0.16515087086803315
BGR,3.Alta,1.Asalariado_patr,2.No_agro,26.463326195026855
BGR,3.Alta,3.TCP_fliares,1.Agro,0.3157657133593505
BGR,3.Alta,3.TCP_fliares,2.No_agro,4.277637729464377
BHS,1.Baja,1.Asalariado_patr,1.Agro,0.0
BHS,1.Baja,1.Asalariado_patr,2.No_agro,14.058159709299593
BHS,1.Baja,3.TCP_fliares,1.Agro,0.0
BHS,1.Baja,3.TCP_fliares,2.No_agro,0.6924964839510815
BHS,2.Media,1.Asalariado_patr,1.Agro,0.5249718255609923
BHS,2.Media,1.Asalariado_patr,2.No_agro,49.47116166110891
BHS,2.Media,3.TCP_fliares,1.Agro,0.37851229451680246
BHS,2.Media,3.TCP_fliares,2.No_agro,7.662293175465667
BHS,3.Alta,1.Asalariado_patr,1.Agro,0.0
BHS,3.Alta,1.Asalariado_patr,2.No_agro,25.74774867814187
BHS,3.Alta,3.TCP_fliares,1.Agro,0.0
