COUNTRY_lab,rama_agg,skill_level,cat_ocup,n_raw,n_wei
Armenia,Agro,Level 1,Own account worker,3,30
Armenia,Agro,Level 1,Wage/salary worker,52,520
Armenia,Agro,Level 2,Employer,82,820
Armenia,Agro,Level 2,Own account worker,22770,227700
Armenia,Agro,Level 2,Unpaid worker,15476,154760
Armenia,Agro,Level 2,Wage/salary worker,703,7030
Armenia,Agro,Level 3-4,Employer,2,20
Armenia,Agro,Level 3-4,Wage/salary worker,64,640
Armenia,No agro,Level 1,Own account worker,172,1720
Armenia,No agro,Level 1,Wage/salary worker,8051,80510
Armenia,No agro,Level 2,Own account worker,2,20
Armenia,No agro,Level 2,Unpaid worker,5,50
Armenia,No agro,Level 2,Wage/salary worker,28553,285530
Armenia,No agro,Level 3-4,Employer,795,7950
Armenia,No agro,Level 3-4,Own account worker,659,6590
Armenia,No agro,Level 3-4,Unpaid worker,1,10
Armenia,No agro,Level 3-4,Wage/salary worker,26875,268750
Benin,Agro,Level 1,Employer,16,160
Benin,Agro,Level 1,Own account worker,44,440
Benin,Agro,Level 1,Unpaid worker,8,80
Benin,Agro,Level 1,Wage/salary worker,31,310
Benin,Agro,Level 2,Employer,2196,21960
Benin,Agro,Level 2,Own account worker,111986,1119860
Benin,Agro,Level 2,Unpaid worker,30241,302410
Benin,Agro,Level 2,Wage/salary worker,2730,27300
Benin,Agro,Level 3-4,Employer,19,190
Benin,Agro,Level 3-4,Own account worker,149,1490
Benin,Agro,Level 3-4,Unpaid worker,37,370
Benin,Agro,Level 3-4,Wage/salary worker,108,1080
Benin,No agro,Level 1,Employer,379,3790
Benin,No agro,Level 1,Own account worker,1281,12810
Benin,No agro,Level 1,Unpaid worker,248,2480
Benin,No agro,Level 1,Wage/salary worker,1349,13490
Benin,No agro,Level 2,Employer,2205,22050
Benin,No agro,Level 2,Own account worker,110204,1102040
Benin,No agro,Level 2,Unpaid worker,3545,35450
Benin,No agro,Level 2,Wage/salary worker,28161,281610
Benin,No agro,Level 3-4,Employer,627,6270
Benin,No agro,Level 3-4,Own account worker,9016,90160
Benin,No agro,Level 3-4,Unpaid worker,157,1570
Benin,No agro,Level 3-4,Wage/salary worker,15612,156120
Bolivia,Agro,Level 1,Employer,105,1053.49
Bolivia,Agro,Level 1,Own account worker,2995,30018
Bolivia,Agro,Level 1,Unpaid worker,1194,11976.039999999999
Bolivia,Agro,Level 1,Wage/salary worker,906,9109.14
Bolivia,Agro,Level 2,Employer,1262,12648.82
Bolivia,Agro,Level 2,Own account worker,80390,805190.7100000004
Bolivia,Agro,Level 2,Unpaid worker,6941,69566.33
Bolivia,Agro,Level 2,Wage/salary worker,10124,101606.93999999999
Bolivia,Agro,Level 3-4,Employer,54,540.99
Bolivia,Agro,Level 3-4,Own account worker,180,1805.05
