ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,rama2,calif
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2010,0.038,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,1.Agro,3.Alta
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,0.084,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,1.Agro,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,0.174,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,1.Agro,1.Baja
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2010,0.882,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,3.Alta
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,1.283,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,0.161,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,1.Baja
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2010,0.008,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,9.SD
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2010,0.646,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,3.Alta
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2010,2.245,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,2.Media
ABW,Aruba,AA:22,PC - Population and Housing Census,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2010,0.951,NA,NA,NA,NA,NA,NA,S3:20_T2:83,Data reference period: September | Age coverage - minimum age: 14 years old,2.No_agro,1.Baja
