iso3c,ref_area.label,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
AFG,Afghanistan,Afghanistan,South Asia,Low income,04 Bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,6289.658,4661.569,486.5885,2106.877,877.7935,0.3219824834781114,74.11482468522136,7.958420603800963,33.49748110310608,14.423152601140684,3.3538791565838353
AGO,Angola,Angola,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,6571.79025,4546.97225,437.95125,1423.662,486.46025000000003,0.3364255012899332,69.18924793742465,6.71855796333238,21.663229437366784,7.650362749612497,1.3036595818219066
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,1141.214,637.3138181818182,13.7136,178.12745454545455,64.3001,0.05842144642840507,55.845250599959186,1.208383930122108,15.60859352807226,5.6617829861230184,0.7909406160263232
ARE,United Arab Emirates,United Arab Emirates,Middle East & North Africa,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,6074.083666666667,63.42333333333333,20.608666666666668,62.510333333333335,1127.3323333333333,0.31094672299307313,1.0441629851328467,0.3419657382698246,1.0291319113099693,18.741174890948372,0.5291818679717408
ARG,Argentina,Argentina,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,10831.738444444445,2185.5104444444446,170.24766666666667,2161.7457777777777,1738.2612222222222,0.5545023345828274,20.176913019584447,1.6992594210434846,19.95751456578541,17.70500742373635,1.4296960871880633
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,1105.3035454545454,453.7107272727273,6.8069999999999995,84.31963636363636,71.5992,0.05658310524397608,41.04851822276053,0.6444481178081833,7.6286407214011716,6.774494613270437,0.05461927793369661
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean,High income,01 Altos ingresos,NA,Peq. estado,Excluíble,No OCDE,36.423,4.212,NA,3.7809999999999997,NA,0.0018645795996735039,11.56412157153447,NA,10.380803338549816,NA,NA
AUS,Australia,Australia,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,11369.589818181817,1057.3192727272726,104.74845454545455,907.1770909090909,892.3244545454545,0.5820362197413008,9.299537535087218,0.8954480492583351,7.978978181414845,7.621783389110966,0.7545119494782038
AUT,Austria,Austria,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,4150.578909090909,383.9230909090909,13.409181818181818,250.28145454545455,352.29027272727274,0.21247796064920563,9.249868495890869,0.32392043048491787,6.03003725570111,8.510139793221589,4.0600921985896014e-45
BDI,Burundi,Burundi,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,3671.999,3178.75,NA,155.78,NA,0.1879783220882823,86.56728937017685,NA,4.242375882999968,NA,NA
BEL,Belgium,Belgium,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,4579.728909090909,671.6491818181818,16.93581818181818,629.8340000000001,453.362,0.23444716514086977,14.665697362237678,0.37200125729691585,13.752648082504608,9.958345132327555,0.07652597412817598
BEN,Benin,Benin,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,3427.482666666667,2893.0306666666665,13.41,1461.8509999999999,29.14,0.17546095210447263,84.40686498001253,0.4626227709758545,42.65086485241647,1.0127162969476022,0.22141605304582423
BFA,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Low income,04 Bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,5980.088,4928.333,207.231,2175.9083333333333,382.132,0.3061348622862566,82.41238256025665,4.85771736439807,36.385891534260594,8.95420755103834,2.425288054872529
BGD,Bangladesh,Bangladesh,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,57504.34966666667,33900.512,6698.426666666666,14611.554666666667,5288.34375,2.9437837981758372,58.95295259664676,11.66742005003828,25.409477285396544,9.115633844188046,0.8822288347513481
BGR,Bulgaria,Bulgaria,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,3047.6342727272727,365.6527272727273,21.90281818181818,268.6492727272727,289.5825454545455,0.1560156135461952,11.997920175162989,0.7243730604693406,8.815010223876481,9.576087678671868,0.09880206249580896
BHS,Bahamas,"Bahamas, The",Latin America & Caribbean,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,210.297,21.445999999999998,1.436,20.65,31.063,0.010765601297876036,10.197958125888624,0.6833214370687604,9.819445831371821,14.785286586004359,1.2554018866699803
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,819.6884545454545,165.16836363636364,18.60109090909091,36.269363636363636,62.85272727272727,0.04196179256056219,20.150139082775684,2.2887304644373847,4.424774246268511,7.731197042871366,NA
BLR,Belarus,Belarus,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,4887.7795,175.93375,19.104,149.372,317.688,0.2502170041842341,3.599461677843691,0.4076230111895333,3.0560298393166057,6.734180596051548,0.39759321045594553
BLZ,Belize,Belize,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,147.07966666666667,40.34883333333333,6.7225,29.008499999999998,21.126166666666666,0.007529356340593738,27.43331845099821,4.590909918687342,19.722984595649976,14.47628988896985,1.566732443644926
BOL,Bolivia (Plurinational State of),Bolivia,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,5000.4632,2927.391,111.3614,1597.121,322.1356,0.2559855495603901,58.54239663237598,2.258769869029707,31.939461128321074,6.53443614149562,NA
BRA,Brazil,Brazil,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,90372.4139,23994.8534,3340.6834,18045.941,14362.039,4.62637781981688,26.55108164594461,3.716888661254643,19.96841759695433,16.096368203855423,1.4741504793834577
BRB,Barbados,Barbados,Latin America & Caribbean,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,Excluíble,No OCDE,128.138,22.464199999999998,2.053,20.733,18.137,0.0065596875804564,17.53125536530927,1.9458240133449596,16.180211958981722,14.907817624382506,1.0456436669778624
BRN,Brunei Darussalam,Brunei Darussalam,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,199.84675,10.84375,0.94575,8.323,28.266750000000002,0.010230628259919577,5.4260326975545015,0.4870982694684796,4.164691194627884,14.530194614933844,NA
BTN,Bhutan,Bhutan,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,305.60900000000004,204.562,1.3159999999999998,45.2425,9.786428571428571,0.015644848224380746,66.93585594665078,0.4373960311960422,14.8040470012336,3.3041986981732054,0.05933798022523501
BWA,Botswana,Botswana,Sub-Saharan Africa,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,603.1055,112.87349999999999,16.509999999999998,53.3425,128.93233333333333,0.030874398367813975,18.715382300443288,2.7922001048554854,8.844638292968643,19.173168063440478,0.9911320725242154
CAN,Canada,Canada,North America,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,17827.52472727273,1888.5345454545454,NA,1752.3787272727272,1352.1333333333332,0.9126331965831391,10.593363769483075,NA,9.829624437945222,7.817900957964616,NA
