iso3c,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,ref_area.label,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
AFG,Afghanistan,South Asia,Low income,04 Bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Afghanistan,6289.657999999999,4661.569,486.5885,2106.877,877.7935,0.3210337635183964,74.11482468522136,7.958420603800963,33.49748110310608,14.423152601140682,7.432699384169158
AGO,Angola,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Angola,6571.79025,4546.972250000001,437.95124999999996,1423.662,486.46025000000003,0.33543422504228426,69.18924793742468,6.718557963332379,21.663229437366784,7.650362749612497,4.607441598102263
ALB,Albania,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Albania,1141.214,637.3138181818182,13.7136,178.12745454545455,64.3001,0.05824930789557767,55.845250599959186,1.2083839301221082,15.60859352807226,5.662664586895612,1.0599256461678324
ARE,United Arab Emirates,Middle East & North Africa,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,United Arab Emirates,6074.083666666666,63.423333333333325,20.608666666666668,62.510333333333335,1127.3323333333335,0.31003051985268854,1.0441629851328464,0.3419657382698246,1.0291319113099695,18.741174890948376,0.3219122834814899
ARG,Argentina,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Argentina,10831.738444444443,2185.5104444444446,148.5211111111111,2161.7457777777777,1707.9403333333332,0.5528684959129576,20.176913019584447,1.4549291058257954,19.95751456578541,17.08764299478542,1.469825652046952
ARM,Armenia,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Armenia,1105.3035454545454,453.7107272727273,6.8069999999999995,84.31963636363636,71.59920000000001,0.05641638337529635,41.04851822276053,0.6444481178081833,7.6286407214011716,6.774494613270439,0.20193399242891863
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Antigua and Barbuda,36.423,4.212,,3.7809999999999997,,0.0018590856241516717,11.56412157153447,,10.380803338549816,,
AUS,Australia,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Australia,11369.589818181817,1057.3192727272728,104.74845454545454,907.1770909090909,892.1685454545454,0.5803212526009124,9.29953753508722,0.8954480492583349,7.978978181414845,7.632328988977218,0.6704278046979593
AUT,Austria,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Austria,4150.578909090909,383.92309090909094,13.40918181818182,250.28145454545455,352.2902727272727,0.21185189528040074,9.24986849589087,0.323920430484918,6.03003725570111,8.510139793221587,0.23212406497529214
BDI,Burundi,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Burundi,3671.999,3178.75,,155.78,,0.18742444479585188,86.56728937017685,,4.242375882999968,,
BEL,Belgium,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Belgium,4579.72890909091,671.6491818181819,16.93581818181818,629.834,453.362,0.2337563676084542,14.665697362237676,0.3720012572969159,13.752648082504603,9.958345132327555,0.297315853922177
BEN,Benin,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Benin,3427.482666666667,2893.030666666667,13.41,1461.8509999999999,29.14,0.17494395718719039,84.40686498001256,0.4626227709758546,42.65086485241646,1.0127162969476022,0.43673553305842383
BFA,Burkina Faso,Sub-Saharan Africa,Low income,04 Bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Burkina Faso,5980.088,4928.333,207.231,2175.9083333333333,382.132,0.3052328372721061,82.41238256025665,4.857717364398071,36.385891534260594,8.95420755103834,3.2799212543919016
BGD,Bangladesh,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Bangladesh,57504.34966666667,33900.511999999995,6698.426666666666,14611.554666666669,5288.34375,2.9351099522689226,58.95295259664675,11.66742005003828,25.40947728539654,9.115633844188046,2.2857143816750636
BGR,Bulgaria,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Bulgaria,3047.6342727272727,365.6527272727273,21.90281818181818,268.6492727272727,289.5825454545454,0.15555591423274323,11.997920175162989,0.7243730604693406,8.815010223876481,9.576087678671868,0.3030051081902662
BHS,"Bahamas, The",Latin America & Caribbean,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Bahamas,210.297,21.446,1.436,20.65,31.063,0.010733880501392639,10.197958125888626,0.6833214370687604,9.819445831371821,14.785286586004359,0.6924964839510815
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Bosnia and Herzegovina,819.6884545454545,165.16836363636364,18.60109090909091,36.269363636363636,62.85272727272727,0.04183815232486493,20.150139082775684,2.2887304644373847,4.424774246268511,7.731197042871366,0.27056834283396775
BLR,Belarus,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Belarus,4887.7795,175.93375,19.104,149.372,317.688,0.24947974089100963,3.5994616778436916,0.4076230111895333,3.056029839316606,6.734180596051548,0.3469248064416967
BLZ,Belize,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Belize,147.07966666666667,40.34883333333334,6.7225,29.008499999999998,21.126166666666666,0.007507171125525624,27.433318450998215,4.590909918687342,19.722984595649976,14.47628988896985,2.1566512155795845
BOL,Bolivia,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,"Bolivia, Plurinational State of",5000.4632,2927.391,111.3614,1597.1209999999999,322.13559999999995,0.2552312892737958,58.54239663237598,2.2587698690297073,31.939461128321067,6.534436141495618,1.5297744453254452
BRA,Brazil,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Brazil,90372.4139,23994.8534,3340.6834000000003,18045.941,14362.039,4.6127462180867775,26.551081645944613,3.716888661254644,19.96841759695433,16.096368203855423,2.352896445300491
BRB,Barbados,Latin America & Caribbean,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,Excluíble,No OCDE,Barbados,128.13799999999998,22.4642,2.053,20.732999999999997,18.137,0.006540359490089966,17.53125536530928,3.3776169127627194,16.180211958981722,29.79555292706768,1.0967898626662183
BRN,Brunei Darussalam,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Brunei Darussalam,199.84675,10.84375,0.94575,8.323,28.266750000000002,0.010200483759120145,5.4260326975545015,0.4870982694684796,4.164691194627884,14.530194614933844,0.17727324853381904
BTN,Bhutan,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Bhutan,305.60900000000004,204.562,1.3159999999999998,45.2425,6.402285714285715,0.015598750748465756,66.93585594665078,0.4373960311960422,14.8040470012336,2.7667749933324775,0.30901830677465286
BWA,Botswana,Sub-Saharan Africa,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Botswana,603.1055,112.87349999999999,16.509999999999998,53.3425,128.93233333333333,0.03078342708993784,18.715382300443288,2.7922001048554854,8.844638292968643,19.17316806344048,1.6284116120355359
CAN,Canada,North America,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Canada,17796.793,1881.873090909091,,1746.153,1352.1333333333334,0.9083755325564368,10.57422587827532,,9.811616059140542,7.817900957964618,
CHE,Switzerland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Switzerland,4462.558181818182,474.34345454545456,19.48081818181818,376.4202727272728,233.3999090909091,0.22777579449135443,10.629406614306431,0.4376976225528423,8.43507820830042,5.249882243627226,0.2708168393411075
CHL,Chile,Latin America & Caribbean,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Chile,8068.466272727273,1684.6944545454544,315.5271818181818,1489.5397272727275,1413.1288181818184,0.4118268582099193,20.879983848231422,3.9370343387580586,18.461249969001095,17.643749941331908,2.817034976381755
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Côte d'Ivoire,7686.2339999999995,5774.196,228.2106666666667,2483.5932000000003,453.53000000000003,0.3923171384363121,75.12386430077461,2.7665525129839246,32.31222468636787,5.394089800718515,1.7935479172661855
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Cameroon,8333.556999999999,6222.148999999999,296.39799999999997,2414.734,530.9079999999999,0.4253574943510564,74.6637840240368,3.573581553443007,28.9760302833472,6.34186699170684,3.614492698231086
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,"Congo, Democratic Republic of the",32622.6765,25535.654000000002,2314.8095,6027.733,1376.2780000000002,1.6651113006205027,78.27577850640183,7.034694320872156,18.477125872857183,4.256608863584021,2.114131154016877
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Congo,1014.273,325.652,10.026,294.179,65.102,0.05177004511614058,32.106937678514555,1.0311494343899545,29.003926950633602,6.770646457271879,0.9612508098398728
COK,,,,,,,,,Cook Islands,7.490500000000001,0.8795,0.033,0.543,1.0175,0.00038232657572709816,11.741539283091914,0.435471100554236,7.2491822975769304,13.378476102820327,0.4245374431421067
COL,Colombia,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Colombia,20133.23618181818,9608.982727272727,686.2756363636364,7516.626272727272,1480.2227272727273,1.0276311658366546,47.72696570236611,3.408302871426336,37.33441660767556,7.345415984624334,2.5677087092765967
COM,Comoros,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Comoros,173.439,99.938,1.158,38.876,5.421,0.008852591811966112,57.62141156256668,0.6815412956347221,22.414797133286054,3.1900995692394605,0.6033608274439937
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Cape Verde,124.50750000000001,48.843,20.435499999999998,30.906,34.3834,0.006355053217721336,39.22896211071622,16.431147257589217,24.822601048129627,20.108968368059497,8.643162733428024
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Costa Rica,2068.5205454545453,519.4495454545454,60.776363636363634,379.3406363636364,346.2339090909091,0.10558045216805094,25.112128888253288,2.9532894429068763,18.338741531826486,16.868614459338822,1.3269028657106403
CYP,Cyprus,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Cyprus,382.4629090909091,48.95590909090909,5.281454545454546,41.950545454545455,56.392818181818186,0.019521491806334917,12.800171710055308,1.399704957537352,10.96852647862229,14.944875921736122,0.9607707494766368
CZE,Czechia,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Czechia,5044.226636363636,712.2242727272727,10.909363636363636,677.8157272727273,275.21945454545454,0.2574650419961721,14.119593033209002,0.21639433939543315,13.437455850741909,5.459220296246355,0.20083816903444565
DEU,Germany,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Germany,40092.08727272727,4332.714636363636,108.73845454545454,4035.8334545454545,3117.277727272727,2.0463614499344223,10.806907125813263,0.2735044178917511,10.06640893274429,7.840733469279407,0.19784934472055515
DJI,Djibouti,Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Djibouti,74.881,21.713,2.384,21.012,7.5329999999999995,0.0038220407605661618,28.99667472389525,3.3989649125308317,28.060522696011002,11.374686678947844,2.690801344941944
DNK,Denmark,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Denmark,2714.205,240.2569090909091,12.159727272727274,209.45954545454543,258.3434545454545,0.13853717421685713,8.851833560505161,0.45023217300128415,7.717160105981142,9.584503917980454,0.31381374501282017
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Dominican Republic,4049.8569999999995,1664.368,327.3299090909091,1330.008090909091,711.832,0.20671089499958858,41.09695725058934,8.145111205909677,32.840865514735235,17.712861939359215,5.324785255491632
ECU,Ecuador,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Ecuador,6953.024727272727,3045.663454545455,811.9183636363636,1898.684090909091,973.1927272727272,0.3548930158098955,43.803431945223274,11.728650429511115,27.307311067967913,14.046480852112303,5.28002353236822
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Egypt,24568.3158,5480.138499999999,582.9566,2830.8635000000004,1889.8146000000002,1.2540044124151875,22.305714989222007,2.372437828710878,11.522415793759865,7.693795461942345,2.058960109145641
ESP,Spain,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Spain,18403.526363636363,3091.3430909090907,60.05645454545454,2770.0952727272725,2076.320090909091,0.9393441313547113,16.79755841259474,0.3279205461960088,15.051980897534508,11.333746262855742,0.15221848270551577
EST,Estonia,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Estonia,623.1570909090909,58.044000000000004,0.8705454545454546,51.475818181818184,50.777272727272724,0.03180689095618887,9.314505258268454,0.14036684176365016,8.260488235273522,8.190596072443844,0.0995527209284821
ETH,Ethiopia,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Ethiopia,35343.943,31095.511,8876.316,6628.705,3336.095,1.804008904596988,87.97974521405266,25.124948009683006,18.75485426173305,9.402019821012736,6.883898536493041
FIN,Finland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Finland,2467.0977272727273,329.8731818181818,6.567818181818182,260.3219090909091,159.6698181818182,0.1259244410990305,13.370900478386917,0.26683272152312487,10.551746945942186,6.500540845673447,0.22856661706143866
FJI,Fiji,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Fiji,339.952,145.57933333333332,9.370666666666667,30.837,27.802333333333333,0.017351669991533068,42.82349665050752,2.768555932964547,9.070986492210665,8.178744501383601,0.4806745255991607
FRA,France,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,France,26019.788,1885.5060909090907,18.311125,1527.2073636363637,2544.4701818181816,1.328089773337566,7.246431411774341,0.07050469622176642,5.869407404996395,9.871457303292793,0.06113016184904019
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,,Peq. estado,Excluíble,No OCDE,"Micronesia, Federated States of",29.589,14.648,2.158,2.726,2.651,0.0015102678124543228,49.50488357159755,7.2757923128792985,9.212883166041436,8.79299479253043,2.918561358516
GBR,United Kingdom,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,United Kingdom of Great Britain and Northern Ireland,29665.016999999996,3667.189090909091,269.06418181818185,3517.919272727273,2609.202818181818,1.5141478363922505,12.361998952871295,0.8802241589758042,11.858814281910822,8.820320717076683,0.786964270285818
GEO,Georgia,Europe & Central Asia,Upper middle income,02 Medios-altos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Georgia,1668.854,891.077,10.968454545454547,160.57136363636363,80.77263636363637,0.08518086045103405,53.39454499914312,0.6616774919860318,9.621654359001065,4.867773642189581,0.10520459719815457
GHA,Ghana,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Ghana,10641.10875,7456.820250000001,256.834,3324.61175,415.7825,0.5431384647656581,70.07559480115266,2.4142447906263,31.243095321246482,3.8672016985896303,1.474083929093223
GIN,Guinea,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Guinea,3334.05,2896.41,72.85849999999999,1197.3300000000002,42.18000000000001,0.17017501098764187,86.87362217123318,2.2621587325440555,35.91217888154047,1.2842332810668455,0.8909333165380171
GMB,"Gambia, The",Sub-Saharan Africa,Low income,04 Bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Gambia,646.327,472.421,63.964000000000006,210.2755,97.386,0.03298951855149431,73.09318657583545,10.106302297949796,32.53391858919711,15.166949984698492,7.730922835115323
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Guinea-Bissau,268.905,192.25799999999998,15.168,88.398,20.981,0.013725322454561819,71.49662520220896,6.402296182175042,32.87331957382719,8.825966792725866,3.038206133140687
GRC,Greece,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Greece,3768.664090909091,1024.3749090909091,15.377999999999998,650.4626363636363,239.80881818181817,0.19235837887229826,27.181380042916096,0.43168732565300727,17.259766874227555,6.465912110851729,0.1607870265220191
GRD,Grenada,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,,Peq. estado,Excluíble,No OCDE,Grenada,112.1235,19.9625,2.5965000000000003,13.716999999999999,18.230999999999998,0.005722954918034482,17.80402859347059,2.3159152837921613,12.233831444790786,16.112311587766627,1.3816240247987936
GTM,Guatemala,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Guatemala,6182.3946,2385.819,427.33720000000005,1359.8135,726.5665,0.3155588755372408,38.59053254219651,6.917569386464686,21.994932190190514,11.762859214392577,1.7458296469845724
GUY,Guyana,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Guyana,245.49200000000002,70.0055,10.1955,51.998999999999995,36.8815,0.012530287127481046,28.51640786665146,4.183567326690015,21.18154563081485,15.177384641341877,2.6592455129870727
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,"Hong Kong, China",3288.1095,177.1657,9.933499999999999,177.1657,612.123,0.16783013760773524,5.388071778023208,0.2773024710166785,5.388071778023208,20.596675798002874,0.24054726079235225
HND,Honduras,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Honduras,3380.8965454545455,1390.486909090909,305.29236363636363,863.5659090909091,393.79090909090905,0.17256613031322499,41.12775680641138,9.027825420076033,25.54251209644177,11.627873890356371,3.5180207850282303
HRV,Croatia,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Croatia,1587.4168181818181,267.106,8.832,140.2407272727273,103.79354545454545,0.08102418214365664,16.826456475743754,0.5605010170158029,8.834524471862093,6.589281369307576,0.1358780224717906
HTI,Haiti,Latin America & Caribbean,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Haiti,3770.206,2802.665,,1672.299,,0.19243708027044387,74.3371847586047,,44.35563998359771,,
HUN,Hungary,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Hungary,4088.2929090909092,459.8934545454545,6.454454545454545,395.54172727272726,366.3756363636364,0.20867272258221797,11.249033882156903,0.15861748305628648,9.674985038209547,9.00364141802127,0.11644547787102853
IDN,Indonesia,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Indonesia,116825.82927272726,59312.45236363637,3943.0617777777775,29229.124363636365,14210.468333333332,5.962968995703944,50.769981889170055,3.4037451509692462,25.019402426326145,12.268226919340966,1.5906579943351649
IND,India,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,India,370831.9645,284371.724,80055.88633333333,121378.256,44399.950000000004,18.927830606426518,76.6847929043614,22.47764734492278,32.7313359202076,12.339702178247444,8.889062195677546
IRL,Ireland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Ireland,2048.6621818181816,333.91727272727275,12.487454545454545,250.88954545454544,160.34463636363637,0.10456685091731542,16.299284269060024,0.6130896756907279,12.246506411900556,7.883357712511277,0.25437342669710916
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,"Iran, Islamic Republic of",21472.33736363636,8735.176636363636,651.0275454545455,5832.1281818181815,2700.762909090909,1.0959809381344525,40.681070199449984,3.0846363328010953,27.161124022273206,12.865381452747258,1.5772036811181454
ISL,Iceland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Iceland,176.43566666666666,21.423,0.32422222222222224,18.301555555555556,10.346909090909092,0.009005546261637324,12.142102787229339,0.18450837812203605,10.372934169898882,5.780704405262851,0.14484361434888107
ISR,Israel,Middle East & North Africa,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Israel,3583.041625,320.343875,6.14525,313.155875,205.59981818181816,0.18288392432733558,8.94055689347455,0.17850966830541995,8.739945213446969,7.1924719405571045,0.16824808428206733
ITA,Italy,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Italy,22656.418636363636,5497.338454545455,223.58554545454544,5075.798636363636,2143.437818181818,1.1564182571898431,24.263933955220114,0.9976285805853137,22.403358261649352,9.563922031239075,0.6116602145944097
JAM,Jamaica,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Jamaica,1142.1264999999999,420.8528,22.697999999999997,242.2333,130.92428571428573,0.058295883291125485,36.84817750047828,2.0644473569562085,21.208972911494484,11.752993616883215,1.2744243353116957
JOR,Jordan,Middle East & North Africa,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Jordan,2188.1536666666666,204.58399999999997,11.886000000000001,194.50933333333333,217.115,0.11168670963772255,9.34961758474915,0.5432021506283813,8.889198976123097,9.922366237829069,0.5249902464164934
JPN,Japan,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,Japan,62834.046727272726,5620.064545454546,892.721090909091,4105.346545454545,8797.546181818181,3.207145841307611,8.944298255765839,1.4442290132687268,6.533633848657793,14.22112205465205,1.3753008275532275
KEN,Kenya,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Kenya,18697.647,11333.235,4357.987,6621.084,3419.357,0.9543564984532474,60.61316164541987,23.399315339789627,35.411322077050656,18.337107894863994,10.574746631841935
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,Kyrgyzstan,2183.6994999999997,780.9431000000001,57.8991,381.8976,267.75570000000005,0.11145936215899824,35.76238855208788,2.6569740825816903,17.48856012468749,11.736787529699688,1.5746440162229758
KHM,Cambodia,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Cambodia,8316.122800000001,4893.5557,212.2892,1710.4289,485.9776,0.4244676261197581,58.84419720209037,2.572167259426091,20.567624374185527,5.883796752718498,0.10256288615793327
KIR,Kiribati,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,,Peq. estado,Excluíble,No OCDE,Kiribati,23.788,6.462,2.163,4.415,2.1105,0.00121417590059358,27.164957121237595,9.031692346235749,18.55977803934757,7.961146737080348,2.6990722578380044
KOR,"Korea, Rep.",East Asia & Pacific,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Republic of Korea,25658.554090909092,8107.912181818182,1008.6541818181818,6844.031454545455,3260.58,1.3096518421581735,31.599255956090065,3.9310639683635262,26.673488421431813,12.70757462025699,3.603515998521357
KOS,,,,,,,,,Kosovo,339.359125,76.153375,18.793,61.440374999999996,60.3065,0.017321408744809325,22.44034988008647,5.63445312330182,18.10482479290928,18.081417574262993,4.115832842377488
LAO,Lao PDR,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Lao People's Democratic Republic,2920.427333333333,2403.482333333333,131.3725,394.8953333333334,162.78300000000002,0.1490630774999204,82.29899459919221,4.645112815186405,13.521833905129412,5.966041687855108,3.225465141512999
